lng,lat, STOP_NAME
144.862945,-37.799251,Tottenham Railway Station (West Footscray)
144.925469,-37.799531,South Kensington Railway Station (Kensington)
144.903199,-37.801083,Footscray Railway Station (Footscray)
144.883985,-37.801803,West Footscray Railway Station (West Footscray)
144.891472,-37.802505,Middle Footscray Railway Station (Footscray)
144.94257,-37.807419,North Melbourne Railway Station (West Melbourne)
144.895672,-37.809005,Seddon Railway Station (Seddon)
144.962594,-37.809939,Melbourne Central Railway Station (Melbourne City)
144.955654,-37.811981,Flagstaff Railway Station (Melbourne City)
144.889934,-37.81585,Yarraville Railway Station (Yarraville)
144.951411,-37.817936,Southern Cross Railway Station (Melbourne City)
144.966964,-37.818305,Flinders Street Railway Station (Melbourne City)
144.885933,-37.830639,Spotswood Railway Station (Spotswood)
144.8836,-37.842718,Newport Railway Station (Newport)
144.889069,-37.857333,North Williamstown Railway Station (Williamstown)
144.772617,-37.863694,Laverton Railway Station (Laverton)
144.894484,-37.863982,Williamstown Beach Railway Station (Williamstown)
144.813494,-37.865163,Westona Railway Station (Altona)
144.760809,-37.866606,Aircraft Railway Station (Laverton)
144.829645,-37.867148,Altona Railway Station (Altona)
144.905323,-37.867753,Williamstown Railway Station (Williamstown)
144.840958,-37.867842,Seaholme Railway Station (Seaholme)
144.747445,-37.869865,Williams Landing Railway Station (Williams Landing)
144.700955,-37.883276,Hoppers Crossing Railway Station (Hoppers Crossing)
144.661118,-37.899378,Werribee Railway Station (Werribee)
145.100885,-37.602548,Mernda Railway Station (Mernda)
145.097396,-37.622995,Hawkstowe Railway Station (South Morang)
145.192017,-37.639398,Hurstbridge Railway Station (Hurstbridge)
145.092144,-37.644061,Middle Gorge Railway Station (South Morang)
145.067032,-37.649159,South Morang Railway Station (South Morang)
145.181615,-37.663968,Wattle Glen Railway Station (Wattle Glen)
145.158506,-37.673297,Diamond Creek Railway Station (Diamond Creek)
145.108247,-37.703954,Greensborough Railway Station (Greensborough)
145.083793,-37.710958,Watsonia Railway Station (Watsonia)
145.147822,-37.71355,Eltham Railway Station (Eltham)
145.121516,-37.715296,Montmorency Railway Station (Montmorency)
145.069143,-37.726012,Macleod Railway Station (Macleod)
145.06614,-37.742879,Rosanna Railway Station (Rosanna)
145.34771,-37.755518,Lilydale Railway Station (Lilydale)
145.060686,-37.757073,Heidelberg Railway Station (Heidelberg)
145.053943,-37.763586,Eaglemont Railway Station (Eaglemont)
145.045425,-37.768897,Ivanhoe Railway Station (Ivanhoe)
145.038476,-37.774963,Darebin Railway Station (Ivanhoe)
144.992972,-37.777847,Merri Railway Station (Northcote)
145.031255,-37.778394,Alphington Railway Station (Alphington)
145.016905,-37.779171,Fairfield Railway Station (Fairfield)
145.008242,-37.779187,Dennis Railway Station (Northcote)
144.999233,-37.780621,Westgarth Railway Station (Northcote)
144.992407,-37.783217,Rushall Railway Station (Fitzroy North)
145.312402,-37.784749,Mooroolbark Railway Station (Mooroolbark)
144.995417,-37.788657,Clifton Hill Railway Station (Clifton Hill)
145.280598,-37.795437,Croydon Railway Station (Croydon)
144.994451,-37.799158,Victoria Park Railway Station (Abbotsford)
144.99375,-37.804526,Collingwood Railway Station (Abbotsford)
144.9925,-37.810398,North Richmond Railway Station (Richmond)
144.972911,-37.811054,Parliament Railway Station (Melbourne City)
145.250191,-37.811968,Ringwood East Railway Station (Ringwood East)
144.991423,-37.814949,West Richmond Railway Station (Richmond)
145.229474,-37.81566,Ringwood Railway Station (Ringwood)
144.984098,-37.816527,Jolimont-MCG Railway Station (East Melbourne)
145.192892,-37.818087,Mitcham Railway Station (Mitcham)
145.21355,-37.818835,Heatherdale Railway Station (Ringwood)
145.121429,-37.819222,Box Hill Railway Station (Box Hill)
145.10553,-37.819427,Mont Albert Railway Station (Mont Albert)
145.150014,-37.820071,Blackburn Railway Station (Blackburn)
145.175237,-37.820428,Nunawading Railway Station (Nunawading)
145.140703,-37.82078,Laburnum Railway Station (Blackburn)
145.036439,-37.821467,Glenferrie Railway Station (Hawthorn)
145.022899,-37.821826,Hawthorn Railway Station (Hawthorn)
145.045844,-37.822398,Auburn Railway Station (Hawthorn East)
144.990164,-37.824074,Richmond Railway Station (Richmond)
145.098775,-37.824148,Surrey Hills Railway Station (Surrey Hills)
145.088648,-37.8243,Chatham Railway Station (Surrey Hills)
145.081224,-37.824485,Canterbury Railway Station (Canterbury)
144.727319,-37.579091,Sunbury Railway Station (Sunbury)
144.94332,-37.601817,Craigieburn Railway Station (Craigieburn)
144.719922,-37.627017,Diggers Rest Railway Station (Diggers Rest)
144.935404,-37.638231,Roxburgh Park Railway Station (Roxburgh Park)
145.031068,-37.652187,Epping Railway Station (Epping)
144.926056,-37.661003,Coolaroo Railway Station (Coolaroo)
145.017193,-37.665851,Lalor Railway Station (Lalor)
144.94674,-37.666078,Upfield Railway Station (Coolaroo)
145.014279,-37.680338,Thomastown Railway Station (Thomastown)
144.919613,-37.683049,Broadmeadows Railway Station (Broadmeadows)
145.011884,-37.69487,Keon Park Railway Station (Thomastown)
144.915851,-37.695131,Jacana Railway Station (Glenroy)
144.958874,-37.700678,Gowrie Railway Station (Glenroy)
144.77418,-37.701129,Watergardens Railway Station (Sydenham)
144.91722,-37.704536,Glenroy Railway Station (Glenroy)
145.009517,-37.707898,Ruthven Railway Station (Reservoir)
144.960545,-37.714621,Fawkner Railway Station (Fawkner)
145.006996,-37.716885,Reservoir Railway Station (Reservoir)
144.921519,-37.71795,Oak Park Railway Station (Oak Park)
144.961314,-37.720934,Merlynston Railway Station (Coburg North)
145.002773,-37.728403,Regent Railway Station (Reservoir)
144.793738,-37.729279,Keilor Plains Railway Station (St Albans)
144.928196,-37.730756,Pascoe Vale Railway Station (Pascoe Vale)
144.962841,-37.733523,Batman Railway Station (Coburg North)
145.000522,-37.738674,Preston Railway Station (Preston)
144.963336,-37.742345,Coburg Railway Station (Coburg)
144.927316,-37.743591,Strathmore Railway Station (Strathmore)
144.80005,-37.744861,St Albans Railway Station (St Albans)
145.000155,-37.745562,Bell Railway Station (Preston)
144.920939,-37.74721,Glenbervie Railway Station (Essendon)
144.961823,-37.754485,Moreland Railway Station (Coburg)
144.998572,-37.755052,Thornbury Railway Station (Thornbury)
144.916198,-37.756012,Essendon Railway Station (Essendon)
144.811348,-37.760067,Ginifer Railway Station (St Albans)
144.960684,-37.761242,Anstey Railway Station (Brunswick)
144.997056,-37.764101,Croxton Railway Station (Northcote)
144.919161,-37.765707,Moonee Ponds Railway Station (Moonee Ponds)
