lng,lat,stop_name,,,,lng_2,lat_2
145.038299,-37.910309,McKinnon Railway Station (Mckinnon),,,,145.378299,-38.160309
145.102364,-37.911017,Huntingdale Railway Station (Oakleigh),,,,144.852364,-37.911017
144.996299,-37.915134,Middle Brighton Railway Station (Brighton),,,,144.996299,-37.915134
145.036995,-37.917425,Bentleigh Railway Station (Bentleigh),,,,145.036995,-37.917425
145.120534,-37.924683,Clayton Railway Station (Clayton),,,,145.120534,-37.924683
145.03547,-37.925149,Patterson Railway Station (Bentleigh),,,,145.03547,-37.925149
144.989154,-37.926484,Brighton Beach Railway Station (Brighton),,,,144.989154,-37.926484
145.036738,-37.934353,Moorabbin Railway Station (Moorabbin),,,,145.036738,-37.934353
145.001471,-37.937977,Hampton Railway Station (Hampton),,,,145.001471,-37.937977
145.138833,-37.938491,Westall Railway Station (Clayton South),,,,145.138833,-37.938491
145.041872,-37.948425,Highett Railway Station (Highett),,,,145.041872,-37.948425
145.153452,-37.949509,Springvale Railway Station (Springvale),,,,145.153452,-37.949509
145.004561,-37.95033,Sandringham Railway Station (Sandringham),,,,145.004561,-37.95033
145.162826,-37.956505,Sandown Park Railway Station (Springvale),,,,145.162826,-37.956505
145.049121,-37.958756,Southland Railway Station (Cheltenham),,,,145.049121,-37.958756
145.176325,-37.966628,Noble Park Railway Station (Noble Park),,,,145.176325,-37.966628
145.054558,-37.96665,Cheltenham Railway Station (Cheltenham),,,,145.054558,-37.96665
145.1916,-37.978255,Yarraman Railway Station (Noble Park),,,,145.1916,-37.978255
145.065166,-37.981865,Mentone Railway Station (Mentone),,,,145.065166,-37.981865
145.209725,-37.989968,Dandenong Railway Station (Dandenong),,,,145.209725,-37.989968
145.076327,-37.993079,Parkdale Railway Station (Parkdale),,,,145.076327,-37.993079
145.087659,-38.006583,Mordialloc Railway Station (Mordialloc),,,,145.087659,-38.006583
145.269777,-38.01774,Hallam Railway Station (Hallam),,,,145.269777,-38.01774
145.10215,-38.02722,Aspendale Railway Station (Aspendale),,,,145.10215,-38.02722
145.303969,-38.027809,Narre Warren Railway Station (Narre Warren),,,,145.303969,-38.027809
145.108536,-38.038056,Edithvale Railway Station (Edithvale),,,,145.108536,-38.038056
145.345726,-38.040408,Berwick Railway Station (Berwick),,,,145.345726,-38.040408
145.366074,-38.050831,Beaconsfield Railway Station (Beaconsfield),,,,145.366074,-38.050831
145.116041,-38.051955,Chelsea Railway Station (Chelsea),,,,145.116041,-38.051955
145.249275,-38.057341,Lynbrook Railway Station (Lynbrook),,,,145.249275,-38.057341
145.11968,-38.062945,Bonbeach Railway Station (Bonbeach),,,,145.11968,-38.062945
145.410987,-38.066146,Officer Railway Station (Officer),,,,145.410987,-38.066146
145.437791,-38.07129,Cardinia Road Railway Station (Pakenham),,,,145.437791,-38.07129
145.122833,-38.076504,Carrum Railway Station (Carrum),,,,145.122833,-38.076504
145.263511,-38.079,Merinda Park Railway Station (Cranbourne North),,,,145.263511,-38.079
145.486379,-38.080614,Pakenham Railway Station (Pakenham),,,,145.486379,-38.080614
145.280599,-38.099537,Cranbourne Railway Station (Cranbourne),,,,145.280599,-38.099537
145.12823,-38.104021,Seaford Railway Station (Seaford),,,,145.12823,-38.104021
145.135295,-38.121742,Kananook Railway Station (Seaford),,,,145.135295,-38.121742
145.126162,-38.14299,Frankston Railway Station (Frankston),,,,145.126162,-38.14299
145.139534,-38.152034,Leawarra Railway Station (Frankston),,,,145.139534,-38.152034
145.160526,-38.194043,Baxter Railway Station (Baxter),,,,145.160526,-38.194043
145.176245,-38.225342,Somerville Railway Station (Somerville),,,,145.176245,-38.225342
145.186401,-38.259815,Tyabb Railway Station (Tyabb),,,,145.186401,-38.259815
