Federal Electoral Division,Eligible Participant - Non-responding,Eligible Participant - Response clear,Eligible Participant - Response not clear,Eligible Participant - Total,Response clear - No,Response clear - Total,Response clear - Yes
Menzies,15745,82763,258,98766,35626,82763,47137
Mitchell,19436,85764,176,105376,43652,85764,42112
Moncrieff,25232,79283,214,104729,28717,79283,50566
Moore,16916,83380,195,100491,26690,83380,56690
Moreton,20020,77831,220,98071,30413,77831,47418
Murray,21560,83657,357,105574,35452,83657,48205
New England,25581,84932,256,110769,40324,84932,44608
Newcastle,19970,95157,232,115359,23999,95157,71158
North Sydney,17538,90286,193,108017,25473,90286,64813
O'Connor,24925,77541,234,102700,33987,77541,43554
Oxley,23348,74020,224,97592,29365,74020,44655
Page,25645,93670,291,119606,37727,93670,55943
Parkes,29777,78516,241,108534,37108,78516,41408
Parramatta,25757,76337,197,102291,47038,76337,29299
Paterson,24264,92974,279,117517,32059,92974,60915
Pearce,26401,85004,209,111614,30699,85004,54305
Perth,19479,80477,177,100133,22967,80477,57510
Petrie,23323,86211,200,109734,33067,86211,53144
Port Adelaide,27253,87518,276,115047,33869,87518,53649
Rankin,26119,76191,237,102547,34621,76191,41570
Reid,23786,82628,203,106617,39061,82628,43567
Richmond,22719,92216,274,115209,29625,92216,62591
Riverina,25632,86641,265,112538,39308,86641,47333
Robertson,20431,89303,231,109965,30614,89303,58689
Ryan,16223,89418,162,105803,24451,89418,64967
Scullin,22817,90392,357,113566,42147,90392,48245
Shortland,19675,92291,255,112221,29836,92291,62455
Solomon,22642,45452,123,68217,15792,45452,29660
Stirling,21345,77285,190,98820,30060,77285,47225
Sturt,19410,84963,252,104625,32655,84963,52308
Swan,21857,75923,185,97965,26830,75923,49093
Sydney,22093,91004,146,113243,14860,91004,76144
Tangney,14926,78428,174,93528,30090,78428,48338
Wakefield,27802,86285,268,114355,33649,86285,52636
Wannon,18569,80869,343,99781,31529,80869,49340
Warringah,16630,86659,172,103461,21660,86659,64999
Watson,24634,82075,205,106914,57160,82075,24915
Wentworth,18121,85689,162,103972,16410,85689,69279
Werriwa,29282,83426,269,112977,53174,83426,30252
Whitlam,23064,92441,276,115781,34879,92441,57562
Wide Bay,21645,83572,319,105536,37065,83572,46507
Wills,20169,97849,250,118268,29399,97849,68450
Wright,22144,82921,280,105345,35812,82921,47109
Grand Total,21855.06667,84608.22667,244.5733333,106707.8667,32493.24667,84608.22667,52114.98
