Country,Region,Sea-LevelRiseScenarios,ImpactedGDP ,PercentageofGDPimpacted,Region2,Sea-Level Rise Scenarios2,PercentageofGDPimpacted2,ImpactedGDP2
Argentina,Latin America / Caribbean,Fourmeter,8090,1.839066872,,,,
Bahamas,Latin America / Caribbean,Fourmeter,927,18.68198307,,,,
Belize,Latin America / Caribbean,Fourmeter,104,7.926829268,,,,
Brazil,Latin America / Caribbean,Fourmeter,21623,1.752790336,,,,
Chile,Latin America / Caribbean,Fourmeter,301,0.221352826,,,,
Colombia,Latin America / Caribbean,Fourmeter,3103,1.04680073,,,,
Costa Rica,Latin America / Caribbean,Fourmeter,149,0.388212918,,,,
Cuba,Latin America / Caribbean,Fourmeter,999,5.203125,,,,
Dominican Republic,Latin America / Caribbean,Fourmeter,728,1.257839902,,,,
Ecuador,Latin America / Caribbean,Fourmeter,2241,5.596064526,,,,
El Salvador,Latin America / Caribbean,Fourmeter,248,0.75430379,,,,
French Guiana,Latin America / Caribbean,Fourmeter,296,15.17170682,,,,
Guatemala,Latin America / Caribbean,Fourmeter,47,0.09321328,,,,
Guyana,Latin America / Caribbean,Fourmeter,702,20.23637936,,,,
Haiti,Latin America / Caribbean,Fourmeter,139,0.908556115,,,,
Honduras,Latin America / Caribbean,Fourmeter,143,0.787488298,,,,
Jamaica,Latin America / Caribbean,Fourmeter,152,1.647517884,,,,
Mexico,Latin America / Caribbean,Fourmeter,14222,1.694810225,,,,
Suriname,Latin America / Caribbean,Fourmeter,337,22.77027027,,,,
Nicaragua,Latin America / Caribbean,Fourmeter,93,0.709923664,,,,
Peru,Latin America / Caribbean,Fourmeter,1597,1.329869178,,,,
Panama,Latin America / Caribbean,Fourmeter,361,2.167777578,,,,
Puerto Rico,Latin America / Caribbean,Fourmeter,7492,7.772751795,,,,
Uruguay,Latin America / Caribbean,Fourmeter,957,3.312908921,,,,
Venezuela,Latin America / Caribbean,Fourmeter,2524,1.871501131,,,,
Argentina,Latin America / Caribbean,Fivemeter,10036,2.281443156,,,,
Bahamas,Latin America / Caribbean,Fivemeter,1406,28.33534865,,,,
Belize,Latin America / Caribbean,Fivemeter,131,9.984756098,,,,
Brazil,Latin America / Caribbean,Fivemeter,30176,2.446108364,,,,
Chile,Latin America / Caribbean,Fivemeter,301,0.221352826,,,,
Colombia,Latin America / Caribbean,Fivemeter,3602,1.215138972,,,,
Costa Rica,Latin America / Caribbean,Fivemeter,217,0.565383914,,,,
Cuba,Latin America / Caribbean,Fivemeter,1236,6.4375,,,,
Dominican Republic,Latin America / Caribbean,Fivemeter,822,1.420253296,,,,
Ecuador,Latin America / Caribbean,Fivemeter,2798,6.98696499,,,,
El Salvador,Latin America / Caribbean,Fivemeter,323,0.982419855,,,,
French Guiana,Latin America / Caribbean,Fivemeter,298,15.27421835,,,,
Guatemala,Latin America / Caribbean,Fivemeter,94,0.18642656,,,,
Guyana,Latin America / Caribbean,Fivemeter,789,22.74430672,,,,
Haiti,Latin America / Caribbean,Fivemeter,178,1.163474737,,,,
Honduras,Latin America / Caribbean,Fivemeter,228,1.255575748,,,,
Jamaica,Latin America / Caribbean,Fivemeter,220,2.384565359,,,,
Mexico,Latin America / Caribbean,Fivemeter,18605,2.217124471,,,,
Suriname,Latin America / Caribbean,Fivemeter,509,34.39189189,,,,
Nicaragua,Latin America / Caribbean,Fivemeter,123,0.938931298,,,,
Peru,Latin America / Caribbean,Fivemeter,1631,1.358181985,,,,
Panama,Latin America / Caribbean,Fivemeter,436,2.61814688,,,,
Puerto Rico,Latin America / Caribbean,Fivemeter,8921,9.25530149,,,,
Uruguay,Latin America / Caribbean,Fivemeter,1017,3.520614809,,,,
Venezuela,Latin America / Caribbean,Fivemeter,2964,2.197753309,,,,
Algeria,Middle East / North Africa,Onemeter,976,0.522198799,,,,
Egypt,Middle East / North Africa,Onemeter,14301,6.436499149,,,,
Iran,Middle East / North Africa,Onemeter,859,0.235730614,,,,
Kuwait,Middle East / North Africa,Onemeter,428,1.148623262,,,,
Libya,Middle East / North Africa,Onemeter,696,1.533039648,,,,
