Suburb,Month,Year,avg_price,
ABBOTSFORD,1,2016,1043255,January
ABBOTSFORD,1,2017,1043255,January
ABBOTSFORD,2,2016,1315727,February
ABBOTSFORD,2,2017,1315727,February
ABBOTSFORD,3,2016,713979,March
ABBOTSFORD,3,2017,713979,March
ABBOTSFORD,4,2016,532729,April
ABBOTSFORD,4,2017,532729,April
ABBOTSFORD,5,2016,2032937,May
ABBOTSFORD,5,2017,2032937,May
ABBOTSFORD,6,2016,621610,June
ABBOTSFORD,6,2017,621610,June
ABBOTSFORD,7,2016,1415133,July
ABBOTSFORD,7,2017,1415133,July
ABBOTSFORD,8,2016,834771,August
ABBOTSFORD,8,2017,834771,August
ABBOTSFORD,9,2016,722701,September
ABBOTSFORD,9,2017,722701,September
ABBOTSFORD,10,2016,768950,October
ABBOTSFORD,10,2017,768950,October
ABBOTSFORD,11,2016,661133,November
ABBOTSFORD,11,2017,661133,November
ABBOTSFORD,12,2016,1616498,December
ABBOTSFORD,12,2017,1616498,December
ABERFELDIE,1,2016,1064030,January
ABERFELDIE,1,2017,1064030,January
ABERFELDIE,2,2016,1609885,February
ABERFELDIE,2,2017,1609885,February
ABERFELDIE,3,2016,1149955,March
ABERFELDIE,3,2017,1149955,March
ABERFELDIE,4,2016,1267974,April
ABERFELDIE,4,2017,1267974,April
ABERFELDIE,5,2016,836250,May
ABERFELDIE,5,2017,836250,May
ABERFELDIE,6,2016,640000,June
ABERFELDIE,6,2017,640000,June
ABERFELDIE,7,2016,833394,July
ABERFELDIE,7,2017,833394,July
ABERFELDIE,8,2016,740292,August
ABERFELDIE,8,2017,740292,August
ABERFELDIE,9,2016,1768505,September
ABERFELDIE,9,2017,1768505,September
ABERFELDIE,10,2016,1776862,October
ABERFELDIE,10,2017,1776862,October
ABERFELDIE,11,2016,710710,November
ABERFELDIE,11,2017,710710,November
ABERFELDIE,12,2016,724049,December
ABERFELDIE,12,2017,724049,December
AIRPORT WEST,1,2016,581333,January
AIRPORT WEST,1,2017,581333,January
AIRPORT WEST,2,2016,675000,February
AIRPORT WEST,2,2017,675000,February
AIRPORT WEST,3,2016,1802798,March
AIRPORT WEST,3,2017,1802798,March
AIRPORT WEST,4,2016,804432,April
AIRPORT WEST,4,2017,804432,April
AIRPORT WEST,5,2016,1279616,May
AIRPORT WEST,5,2017,1279616,May
AIRPORT WEST,6,2016,1084444,June
AIRPORT WEST,6,2017,1084444,June
AIRPORT WEST,7,2016,762123,July
AIRPORT WEST,7,2017,762123,July
AIRPORT WEST,8,2016,1189977,August
AIRPORT WEST,8,2017,1189977,August
AIRPORT WEST,9,2016,1306116,September
AIRPORT WEST,9,2017,1306116,September
AIRPORT WEST,10,2016,1119739,October
AIRPORT WEST,10,2017,1119739,October
AIRPORT WEST,11,2016,1117430,November
AIRPORT WEST,11,2017,1117430,November
AIRPORT WEST,12,2016,989222,December
AIRPORT WEST,12,2017,989222,December
ALBANVALE,1,2016,759134,January
ALBANVALE,1,2017,759134,January
ALBANVALE,2,2016,1312809,February
ALBANVALE,2,2017,1312809,February
ALBANVALE,3,2016,660109,March
ALBANVALE,3,2017,660109,March
ALBANVALE,4,2016,720710,April
ALBANVALE,4,2017,720710,April
ALBANVALE,5,2016,1953745,May
ALBANVALE,5,2017,1953745,May
ALBANVALE,6,2016,1592811,June
ALBANVALE,6,2017,1592811,June
ALBANVALE,7,2016,511154,July
ALBANVALE,7,2017,511154,July
ALBANVALE,8,2016,456000,August
ALBANVALE,8,2017,456000,August
ALBANVALE,9,2016,639460,September
ALBANVALE,9,2017,639460,September
ALBANVALE,10,2016,980349,October
ALBANVALE,10,2017,980349,October
ALBANVALE,11,2016,893045,November
ALBANVALE,11,2017,893045,November
ALBANVALE,12,2016,807662,December
ALBANVALE,12,2017,807662,December
ALBERT PARK,1,2016,1156907,January
ALBERT PARK,1,2017,1156907,January
ALBERT PARK,2,2016,806597,February
ALBERT PARK,2,2017,806597,February
ALBERT PARK,3,2016,1039251,March
ALBERT PARK,3,2017,1039251,March
ALBERT PARK,4,2016,628438,April
ALBERT PARK,4,2017,628438,April
ALBERT PARK,5,2016,573840,May
ALBERT PARK,5,2017,573840,May
ALBERT PARK,6,2016,1233690,June
ALBERT PARK,6,2017,1233690,June
ALBERT PARK,7,2016,1021224,July
ALBERT PARK,7,2017,1021224,July
ALBERT PARK,8,2016,675515,August
ALBERT PARK,8,2017,675515,August
ALBERT PARK,9,2016,1830524,September
ALBERT PARK,9,2017,1830524,September
ALBERT PARK,10,2016,650000,October
ALBERT PARK,10,2017,650000,October
ALBERT PARK,11,2016,2778864,November
ALBERT PARK,11,2017,2218289,November
ALBERT PARK,12,2016,1067397,December
ALBERT PARK,12,2017,1067397,December
ALBION,1,2016,1420141,January
ALBION,1,2017,1420141,January
ALBION,2,2016,897010,February
ALBION,2,2017,897010,February
ALBION,3,2016,654889,March
ALBION,3,2017,654889,March
ALBION,4,2016,739998,April
ALBION,4,2017,739998,April
ALBION,5,2016,542756,May
ALBION,5,2017,542756,May
ALBION,6,2016,714609,June
ALBION,6,2017,714609,June
ALBION,7,2016,968762,July
ALBION,7,2017,968762,July
ALBION,8,2016,1059422,August
ALBION,8,2017,1059422,August
ALBION,9,2016,1178914,September
ALBION,9,2017,1178914,September
ALBION,10,2016,992453,October
ALBION,10,2017,992452,October
ALBION,11,2016,767100,November
ALBION,11,2017,767100,November
ALBION,12,2016,756450,December
ALBION,12,2017,756450,December
ALPHINGTON,1,2016,998321,January
ALPHINGTON,1,2017,998321,January
ALPHINGTON,2,2016,911982,February
ALPHINGTON,2,2017,911982,February
ALPHINGTON,3,2016,891144,March
ALPHINGTON,3,2017,891144,March
ALPHINGTON,4,2016,1213495,April
ALPHINGTON,4,2017,1213495,April
ALPHINGTON,5,2016,794963,May
ALPHINGTON,5,2017,794963,May
ALPHINGTON,6,2016,1182743,June
ALPHINGTON,6,2017,1182743,June
ALPHINGTON,7,2016,891946,July
ALPHINGTON,7,2017,891946,July
ALPHINGTON,8,2016,772752,August
ALPHINGTON,8,2017,772752,August
ALPHINGTON,9,2016,909245,September
ALPHINGTON,9,2017,909245,September
ALPHINGTON,10,2016,440500,October
ALPHINGTON,10,2017,440500,October
ALPHINGTON,11,2016,556092,November
ALPHINGTON,11,2017,556092,November
ALPHINGTON,12,2016,574751,December
ALPHINGTON,12,2017,574751,December
ALTONA,1,2016,585000,January
ALTONA,1,2017,585000,January
ALTONA,2,2016,962067,February
ALTONA,2,2017,962067,February
ALTONA,3,2016,869839,March
ALTONA,3,2017,869839,March
ALTONA,4,2016,894490,April
ALTONA,4,2017,894490,April
ALTONA,5,2016,798075,May
ALTONA,5,2017,798075,May
ALTONA,6,2016,910000,June
ALTONA,6,2017,910000,June
ALTONA,7,2016,443711,July
ALTONA,7,2017,443711,July
ALTONA,8,2016,614432,August
ALTONA,8,2017,614432,August
ALTONA,9,2016,627252,September
ALTONA,9,2017,627252,September
ALTONA,10,2016,1715000,October
ALTONA,10,2017,1715000,October
ALTONA,11,2016,588755,November
ALTONA,11,2017,588755,November
ALTONA,12,2016,520552,December
ALTONA,12,2017,520552,December
ALTONA MEADOWS,1,2016,729167,January
ALTONA MEADOWS,1,2017,729167,January
ALTONA MEADOWS,2,2016,723896,February
ALTONA MEADOWS,2,2017,723896,February
ALTONA MEADOWS,3,2016,470500,March
ALTONA MEADOWS,3,2017,470500,March
ALTONA MEADOWS,4,2016,913841,April
ALTONA MEADOWS,4,2017,913841,April
ALTONA MEADOWS,5,2016,865000,May
ALTONA MEADOWS,5,2017,865000,May
ALTONA MEADOWS,6,2016,1206961,June
ALTONA MEADOWS,6,2017,1206961,June
ALTONA MEADOWS,7,2016,1343874,July
ALTONA MEADOWS,7,2017,1343874,July
ALTONA MEADOWS,8,2016,1223300,August
ALTONA MEADOWS,8,2017,1223300,August
ALTONA MEADOWS,9,2016,494500,September
ALTONA MEADOWS,9,2017,494500,September
ALTONA MEADOWS,10,2016,489045,October
ALTONA MEADOWS,10,2017,489045,October
ALTONA MEADOWS,11,2016,1633039,November
ALTONA MEADOWS,11,2017,1633039,November
ALTONA MEADOWS,12,2016,1405216,December
ALTONA MEADOWS,12,2017,1405216,December
ALTONA NORTH,1,2016,931878,January
ALTONA NORTH,1,2017,931878,January
ALTONA NORTH,2,2016,1278926,February
ALTONA NORTH,2,2017,1278926,February
ALTONA NORTH,3,2016,875215,March
ALTONA NORTH,3,2017,875215,March
ALTONA NORTH,4,2016,892514,April
ALTONA NORTH,4,2017,892514,April
ALTONA NORTH,5,2016,1005529,May
ALTONA NORTH,5,2017,1005529,May
ALTONA NORTH,6,2016,655000,June
ALTONA NORTH,6,2017,655000,June
ALTONA NORTH,7,2016,642639,July
ALTONA NORTH,7,2017,642639,July
ALTONA NORTH,8,2016,564604,August
ALTONA NORTH,8,2017,564604,August
ALTONA NORTH,9,2016,1054654,September
ALTONA NORTH,9,2017,1054654,September
ALTONA NORTH,10,2016,882186,October
ALTONA NORTH,10,2017,882186,October
ALTONA NORTH,11,2016,1053582,November
ALTONA NORTH,11,2017,1053582,November
ALTONA NORTH,12,2017,1080354,December
ALTONA NORTH,12,2016,1080353,December
ARDEER,1,2016,646870,January
ARDEER,1,2017,646870,January
ARDEER,2,2016,788473,February
ARDEER,2,2017,788473,February
ARDEER,3,2016,1202306,March
ARDEER,3,2017,1202306,March
ARDEER,4,2016,1275616,April
ARDEER,4,2017,1275616,April
ARDEER,5,2016,806942,May
ARDEER,5,2017,806942,May
ARDEER,6,2016,661608,June
ARDEER,6,2017,661608,June
ARDEER,7,2016,961962,July
ARDEER,7,2017,961962,July
ARDEER,8,2016,650681,August
ARDEER,8,2017,650681,August
ARDEER,9,2016,496000,September
ARDEER,9,2017,496000,September
ARDEER,10,2016,1059161,October
ARDEER,10,2017,1059161,October
ARDEER,11,2016,1021333,November
ARDEER,11,2017,1021333,November
ARDEER,12,2016,619607,December
ARDEER,12,2017,619607,December
ARMADALE,1,2016,659332,January
ARMADALE,1,2017,659332,January
ARMADALE,2,2016,887530,February
ARMADALE,2,2017,887530,February
ARMADALE,3,2016,1619848,March
ARMADALE,3,2017,1619848,March
ARMADALE,4,2016,1309248,April
ARMADALE,4,2017,1309248,April
ARMADALE,5,2016,636453,May
ARMADALE,5,2017,636453,May
ARMADALE,6,2016,709744,June
ARMADALE,6,2017,709744,June
ARMADALE,7,2016,819293,July
ARMADALE,7,2017,819293,July
ARMADALE,8,2016,736561,August
ARMADALE,8,2017,736561,August
ARMADALE,9,2016,683592,September
ARMADALE,9,2017,683592,September
ARMADALE,10,2016,760917,October
ARMADALE,10,2017,760917,October
ARMADALE,11,2016,1578953,November
ARMADALE,11,2017,1578953,November
ARMADALE,12,2016,1077992,December
ARMADALE,12,2017,1077992,December
ASCOT VALE,1,2016,565458,January
ASCOT VALE,1,2017,565458,January
ASCOT VALE,2,2016,1376518,February
ASCOT VALE,2,2017,1376517,February
ASCOT VALE,3,2016,1438205,March
ASCOT VALE,3,2017,1438205,March
ASCOT VALE,4,2016,650000,April
ASCOT VALE,4,2017,650000,April
ASCOT VALE,5,2016,959576,May
ASCOT VALE,5,2017,959576,May
ASCOT VALE,6,2016,903485,June
ASCOT VALE,6,2017,903485,June
ASCOT VALE,7,2016,749960,July
ASCOT VALE,7,2017,749960,July
ASCOT VALE,8,2016,652676,August
ASCOT VALE,8,2017,652676,August
ASCOT VALE,9,2016,1204709,September
ASCOT VALE,9,2017,1204709,September
ASCOT VALE,10,2016,635516,October
ASCOT VALE,10,2017,635516,October
ASCOT VALE,11,2016,548570,November
ASCOT VALE,11,2017,548570,November
ASCOT VALE,12,2016,1016401,December
ASCOT VALE,12,2017,1016401,December
ASHBURTON,1,2016,1080475,January
ASHBURTON,1,2017,1080475,January
ASHBURTON,2,2016,790000,February
ASHBURTON,2,2017,790000,February
ASHBURTON,3,2016,1177136,March
ASHBURTON,3,2017,1177136,March
ASHBURTON,4,2016,1889738,April
ASHBURTON,4,2017,1889738,April
ASHBURTON,5,2016,498922,May
ASHBURTON,5,2017,498922,May
ASHBURTON,6,2016,589758,June
ASHBURTON,6,2017,589758,June
ASHBURTON,7,2016,818217,July
ASHBURTON,7,2017,818217,July
ASHBURTON,8,2016,662991,August
ASHBURTON,8,2017,662991,August
ASHBURTON,9,2016,810004,September
ASHBURTON,9,2017,810004,September
ASHBURTON,10,2016,660000,October
ASHBURTON,10,2017,660000,October
ASHBURTON,11,2016,689633,November
ASHBURTON,11,2017,689633,November
ASHBURTON,12,2016,835974,December
ASHBURTON,12,2017,835974,December
ASHWOOD,1,2016,1788089,January
ASHWOOD,1,2017,1788089,January
ASHWOOD,2,2016,1720877,February
ASHWOOD,2,2017,1720877,February
ASHWOOD,3,2016,851367,March
ASHWOOD,3,2017,851367,March
ASHWOOD,4,2016,764771,April
ASHWOOD,4,2017,764771,April
ASHWOOD,5,2016,548407,May
ASHWOOD,5,2017,548407,May
ASHWOOD,6,2016,705373,June
ASHWOOD,6,2017,705373,June
ASHWOOD,7,2016,851627,July
ASHWOOD,7,2017,851627,July
ASHWOOD,8,2016,949989,August
ASHWOOD,8,2017,949989,August
ASHWOOD,9,2016,1496656,September
ASHWOOD,9,2017,1496656,September
ASHWOOD,10,2016,341639,October
ASHWOOD,10,2017,341639,October
ASHWOOD,11,2016,619847,November
ASHWOOD,11,2017,619847,November
ASHWOOD,12,2016,578788,December
ASHWOOD,12,2017,578788,December
ASPENDALE,1,2016,821500,January
ASPENDALE,1,2017,821500,January
ASPENDALE,2,2016,709729,February
ASPENDALE,2,2017,709728,February
ASPENDALE,3,2016,1859204,March
ASPENDALE,3,2017,1859204,March
ASPENDALE,4,2016,1474937,April
ASPENDALE,4,2017,1474937,April
ASPENDALE,5,2016,808647,May
ASPENDALE,5,2017,808647,May
ASPENDALE,6,2016,1317333,June
ASPENDALE,6,2017,1317333,June
ASPENDALE,7,2016,492625,July
ASPENDALE,7,2017,492625,July
ASPENDALE,8,2016,694260,August
ASPENDALE,8,2017,694259,August
ASPENDALE,9,2016,401621,September
ASPENDALE,9,2017,401621,September
ASPENDALE,10,2016,377250,October
ASPENDALE,10,2017,377250,October
ASPENDALE,11,2016,448161,November
ASPENDALE,11,2017,448161,November
ASPENDALE,12,2016,1012913,December
ASPENDALE,12,2017,1012913,December
ASPENDALE GARDENS,1,2016,633756,January
ASPENDALE GARDENS,1,2017,633756,January
ASPENDALE GARDENS,2,2016,510000,February
ASPENDALE GARDENS,2,2017,510000,February
ASPENDALE GARDENS,3,2016,2186818,March
ASPENDALE GARDENS,3,2017,2186818,March
ASPENDALE GARDENS,4,2016,626798,April
ASPENDALE GARDENS,4,2017,626798,April
ASPENDALE GARDENS,5,2016,968998,May
ASPENDALE GARDENS,5,2017,968998,May
ASPENDALE GARDENS,6,2016,1574017,June
ASPENDALE GARDENS,6,2017,1574017,June
ASPENDALE GARDENS,7,2016,847205,July
ASPENDALE GARDENS,7,2017,847205,July
ASPENDALE GARDENS,8,2016,735000,August
ASPENDALE GARDENS,8,2017,735000,August
ASPENDALE GARDENS,9,2016,1123208,September
ASPENDALE GARDENS,9,2017,1123208,September
ASPENDALE GARDENS,10,2016,1017020,October
ASPENDALE GARDENS,10,2017,1017020,October
ASPENDALE GARDENS,11,2016,745792,November
ASPENDALE GARDENS,11,2017,745792,November
ASPENDALE GARDENS,12,2016,1034444,December
ASPENDALE GARDENS,12,2017,1034444,December
ATTWOOD,1,2016,567500,January
ATTWOOD,1,2017,567500,January
ATTWOOD,2,2016,1364932,February
ATTWOOD,2,2017,1364932,February
ATTWOOD,3,2016,1071262,March
ATTWOOD,3,2017,1071262,March
ATTWOOD,4,2016,1022282,April
ATTWOOD,4,2017,1022282,April
ATTWOOD,5,2016,662074,May
ATTWOOD,5,2017,662074,May
ATTWOOD,6,2016,690000,June
ATTWOOD,6,2017,690000,June
ATTWOOD,7,2016,1003433,July
ATTWOOD,7,2017,1003433,July
ATTWOOD,8,2016,966697,August
ATTWOOD,8,2017,966697,August
ATTWOOD,9,2016,638376,September
ATTWOOD,9,2017,638376,September
ATTWOOD,10,2016,898924,October
ATTWOOD,10,2017,898924,October
ATTWOOD,11,2016,1226000,November
ATTWOOD,11,2017,1226000,November
ATTWOOD,12,2016,1216505,December
ATTWOOD,12,2017,1216505,December
AVONDALE HEIGHTS,1,2016,1054125,January
AVONDALE HEIGHTS,1,2017,1054125,January
AVONDALE HEIGHTS,2,2016,1029957,February
AVONDALE HEIGHTS,2,2017,1029957,February
AVONDALE HEIGHTS,3,2016,821077,March
AVONDALE HEIGHTS,3,2017,821077,March
AVONDALE HEIGHTS,4,2016,1082676,April
AVONDALE HEIGHTS,4,2017,1082676,April
AVONDALE HEIGHTS,5,2016,1019556,May
AVONDALE HEIGHTS,5,2017,1019556,May
AVONDALE HEIGHTS,6,2016,995099,June
AVONDALE HEIGHTS,6,2017,995099,June
AVONDALE HEIGHTS,7,2016,559000,July
AVONDALE HEIGHTS,7,2017,559000,July
AVONDALE HEIGHTS,8,2016,1058938,August
AVONDALE HEIGHTS,8,2017,1058938,August
AVONDALE HEIGHTS,9,2016,482425,September
AVONDALE HEIGHTS,9,2017,482425,September
AVONDALE HEIGHTS,10,2016,1153706,October
AVONDALE HEIGHTS,10,2017,1153706,October
AVONDALE HEIGHTS,11,2016,1168710,November
AVONDALE HEIGHTS,11,2017,1168710,November
AVONDALE HEIGHTS,12,2016,746289,December
AVONDALE HEIGHTS,12,2017,746289,December
BALACLAVA,1,2016,670000,January
BALACLAVA,1,2017,670000,January
BALACLAVA,2,2016,625500,February
BALACLAVA,2,2017,625500,February
BALACLAVA,3,2016,656408,March
BALACLAVA,3,2017,656408,March
BALACLAVA,4,2016,1235410,April
BALACLAVA,4,2017,1235410,April
BALACLAVA,5,2016,1149833,May
BALACLAVA,5,2017,1149833,May
BALACLAVA,6,2016,852940,June
BALACLAVA,6,2017,852940,June
BALACLAVA,7,2016,1791429,July
BALACLAVA,7,2017,1791429,July
BALACLAVA,8,2016,675298,August
BALACLAVA,8,2017,675298,August
BALACLAVA,9,2016,1089590,September
BALACLAVA,9,2017,1089590,September
BALACLAVA,10,2016,892250,October
BALACLAVA,10,2017,892250,October
BALACLAVA,11,2016,922396,November
BALACLAVA,11,2017,922396,November
BALACLAVA,12,2016,891382,December
BALACLAVA,12,2017,891382,December
BALWYN,1,2016,938753,January
BALWYN,1,2017,938753,January
BALWYN,2,2016,715208,February
BALWYN,2,2017,715208,February
BALWYN,3,2016,936363,March
BALWYN,3,2017,936363,March
BALWYN,4,2016,925467,April
BALWYN,4,2017,925467,April
BALWYN,5,2016,505797,May
BALWYN,5,2017,505797,May
BALWYN,6,2016,655000,June
BALWYN,6,2017,655000,June
BALWYN,7,2016,1495897,July
BALWYN,7,2017,1495897,July
BALWYN,8,2016,940907,August
BALWYN,8,2017,940907,August
BALWYN,9,2016,573750,September
BALWYN,9,2017,573750,September
BALWYN,10,2016,709506,October
BALWYN,10,2017,709506,October
BALWYN,11,2016,1222857,November
BALWYN,11,2017,1222857,November
BALWYN,12,2016,995141,December
BALWYN,12,2017,995141,December
BALWYN NORTH,1,2016,597849,January
BALWYN NORTH,1,2017,597849,January
BALWYN NORTH,2,2016,761180,February
BALWYN NORTH,2,2017,761180,February
BALWYN NORTH,3,2016,1282535,March
BALWYN NORTH,3,2017,1282535,March
BALWYN NORTH,4,2016,578828,April
BALWYN NORTH,4,2017,578828,April
BALWYN NORTH,5,2016,1021501,May
BALWYN NORTH,5,2017,1021501,May
BALWYN NORTH,6,2016,598940,June
BALWYN NORTH,6,2017,598940,June
BALWYN NORTH,7,2016,925597,July
BALWYN NORTH,7,2017,925597,July
BALWYN NORTH,8,2016,755205,August
BALWYN NORTH,8,2017,755205,August
BALWYN NORTH,9,2016,729167,September
BALWYN NORTH,9,2017,729167,September
BALWYN NORTH,10,2016,601026,October
BALWYN NORTH,10,2017,601026,October
BALWYN NORTH,11,2016,1029667,November
BALWYN NORTH,11,2017,1029667,November
BALWYN NORTH,12,2016,828639,December
BALWYN NORTH,12,2017,828639,December
BAYSWATER,1,2016,1199664,January
BAYSWATER,1,2017,1199664,January
BAYSWATER,2,2016,913389,February
BAYSWATER,2,2017,913389,February
BAYSWATER,3,2016,514538,March
BAYSWATER,3,2017,514538,March
BAYSWATER,4,2016,711359,April
BAYSWATER,4,2017,711359,April
BAYSWATER,5,2016,622637,May
BAYSWATER,5,2017,622637,May
BAYSWATER,6,2016,577205,June
BAYSWATER,6,2017,577205,June
BAYSWATER,7,2017,1580220,July
BAYSWATER,7,2016,1009000,July
BAYSWATER,8,2016,567792,August
BAYSWATER,8,2017,567792,August
BAYSWATER,9,2016,519287,September
BAYSWATER,9,2017,519287,September
BAYSWATER,10,2016,662717,October
BAYSWATER,10,2017,662717,October
BAYSWATER,11,2016,736038,November
BAYSWATER,11,2017,736038,November
BAYSWATER,12,2016,1560032,December
BAYSWATER,12,2017,1560032,December
BAYSWATER NORTH,1,2016,1156413,January
BAYSWATER NORTH,1,2017,1156413,January
BAYSWATER NORTH,2,2016,608033,February
BAYSWATER NORTH,2,2017,608033,February
BAYSWATER NORTH,3,2016,624053,March
BAYSWATER NORTH,3,2017,624053,March
BAYSWATER NORTH,4,2016,989190,April
BAYSWATER NORTH,4,2017,989190,April
BAYSWATER NORTH,5,2016,1795183,May
BAYSWATER NORTH,5,2017,1795183,May
BAYSWATER NORTH,6,2016,991479,June
BAYSWATER NORTH,6,2017,991479,June
BAYSWATER NORTH,7,2016,525202,July
BAYSWATER NORTH,7,2017,525202,July
BAYSWATER NORTH,8,2016,540885,August
BAYSWATER NORTH,8,2017,540885,August
BAYSWATER NORTH,9,2016,1037104,September
BAYSWATER NORTH,9,2017,1037104,September
BAYSWATER NORTH,10,2016,1203982,October
BAYSWATER NORTH,10,2017,1203982,October
BAYSWATER NORTH,11,2016,965762,November
BAYSWATER NORTH,11,2017,965762,November
BAYSWATER NORTH,12,2016,366000,December
BAYSWATER NORTH,12,2017,366000,December
BEACONSFIELD,1,2016,933522,January
BEACONSFIELD,1,2017,933522,January
BEACONSFIELD,2,2016,1123962,February
BEACONSFIELD,2,2017,1123962,February
BEACONSFIELD,3,2016,1170600,March
BEACONSFIELD,3,2017,1170600,March
BEACONSFIELD,4,2016,1248500,April
BEACONSFIELD,4,2017,1248500,April
BEACONSFIELD,5,2016,753083,May
BEACONSFIELD,5,2017,753083,May
BEACONSFIELD,6,2016,781022,June
BEACONSFIELD,6,2017,781022,June
BEACONSFIELD,7,2016,517407,July
BEACONSFIELD,7,2017,517407,July
BEACONSFIELD,8,2016,798100,August
BEACONSFIELD,8,2017,798100,August
BEACONSFIELD,9,2016,939849,September
BEACONSFIELD,9,2017,939849,September
BEACONSFIELD,10,2016,578449,October
BEACONSFIELD,10,2017,578449,October
BEACONSFIELD,11,2016,1247866,November
BEACONSFIELD,11,2017,1247866,November
BEACONSFIELD,12,2016,520500,December
BEACONSFIELD,12,2017,520500,December
BEACONSFIELD UPPER,1,2016,555000,January
BEACONSFIELD UPPER,1,2017,555000,January
BEACONSFIELD UPPER,2,2016,1318842,February
BEACONSFIELD UPPER,2,2017,1318842,February
BEACONSFIELD UPPER,3,2016,848397,March
BEACONSFIELD UPPER,3,2017,848397,March
BEACONSFIELD UPPER,4,2016,962576,April
BEACONSFIELD UPPER,4,2017,962576,April
BEACONSFIELD UPPER,5,2016,548157,May
BEACONSFIELD UPPER,5,2017,548157,May
BEACONSFIELD UPPER,6,2016,536716,June
BEACONSFIELD UPPER,6,2017,536716,June
BEACONSFIELD UPPER,7,2016,835568,July
BEACONSFIELD UPPER,7,2017,835568,July
BEACONSFIELD UPPER,8,2016,620000,August
BEACONSFIELD UPPER,8,2017,620000,August
BEACONSFIELD UPPER,9,2016,977408,September
BEACONSFIELD UPPER,9,2017,977408,September
BEACONSFIELD UPPER,10,2017,1180667,October
BEACONSFIELD UPPER,10,2016,1136042,October
BEACONSFIELD UPPER,11,2016,1315727,November
BEACONSFIELD UPPER,11,2017,1233750,November
BEACONSFIELD UPPER,12,2017,746029,December
BEACONSFIELD UPPER,12,2016,713979,December
BEAUMARIS,1,2016,532729,January
BEAUMARIS,1,2017,532729,January
BEAUMARIS,2,2017,2079625,February
BEAUMARIS,2,2016,2032937,February
BEAUMARIS,3,2016,765000,March
BEAUMARIS,3,2017,591833,March
BEAUMARIS,4,2016,1415133,April
BEAUMARIS,4,2017,1298431,April
BEAUMARIS,5,2016,720000,May
BEAUMARIS,5,2017,705187,May
BEAUMARIS,6,2016,722701,June
BEAUMARIS,6,2017,722701,June
BEAUMARIS,7,2017,769958,July
BEAUMARIS,7,2016,768950,July
BEAUMARIS,8,2016,661133,August
BEAUMARIS,8,2017,661133,August
BEAUMARIS,9,2016,1616498,September
BEAUMARIS,9,2017,1524587,September
BEAUMARIS,10,2017,1018586,October
BEAUMARIS,10,2016,895000,October
BEAUMARIS,11,2017,1712031,November
BEAUMARIS,11,2016,1506365,November
BEAUMARIS,12,2017,1156883,December
BEAUMARIS,12,2016,1094856,December
BELLFIELD,1,2016,1267974,January
BELLFIELD,1,2017,1267974,January
BELLFIELD,2,2016,836250,February
BELLFIELD,2,2017,836250,February
BELLFIELD,3,2016,640000,March
BELLFIELD,3,2017,640000,March
BELLFIELD,4,2016,833394,April
BELLFIELD,4,2017,812903,April
BELLFIELD,5,2017,1335500,May
BELLFIELD,5,2016,740292,May
BELLFIELD,6,2017,2049321,June
BELLFIELD,6,2016,450000,June
BELLFIELD,7,2016,1776862,July
BELLFIELD,7,2017,1646500,July
BELLFIELD,8,2016,710710,August
BELLFIELD,8,2017,710710,August
BELLFIELD,9,2016,724049,September
BELLFIELD,9,2017,724049,September
BELLFIELD,10,2016,581333,October
BELLFIELD,10,2017,581333,October
BELLFIELD,11,2016,675000,November
BELLFIELD,11,2017,675000,November
BELLFIELD,12,2016,1802798,December
BELLFIELD,12,2017,1802798,December
BENTLEIGH,1,2016,804432,January
BENTLEIGH,1,2017,720000,January
BENTLEIGH,2,2017,1406000,February
BENTLEIGH,2,2016,1222500,February
BENTLEIGH,3,2017,1133062,March
BENTLEIGH,3,2016,788435,March
BENTLEIGH,4,2016,762123,April
BENTLEIGH,4,2017,762123,April
BENTLEIGH,5,2016,1189977,May
BENTLEIGH,5,2017,1189977,May
BENTLEIGH,6,2016,1306116,June
BENTLEIGH,6,2017,1306116,June
BENTLEIGH,7,2016,1119739,July
BENTLEIGH,7,2017,1119739,July
BENTLEIGH,8,2016,1117430,August
BENTLEIGH,8,2017,1117430,August
BENTLEIGH,9,2016,989222,September
BENTLEIGH,9,2017,989222,September
BENTLEIGH,10,2016,759134,October
BENTLEIGH,10,2017,759134,October
BENTLEIGH,11,2017,1710000,November
BENTLEIGH,11,2016,1312809,November
BENTLEIGH,12,2016,660109,December
BENTLEIGH,12,2017,592000,December
BENTLEIGH EAST,1,2016,720710,January
BENTLEIGH EAST,1,2017,720710,January
BENTLEIGH EAST,2,2016,1953745,February
BENTLEIGH EAST,2,2017,1864472,February
BENTLEIGH EAST,3,2016,1592811,March
BENTLEIGH EAST,3,2017,1515293,March
BENTLEIGH EAST,4,2016,511154,April
BENTLEIGH EAST,4,2017,511154,April
BENTLEIGH EAST,5,2016,456000,May
BENTLEIGH EAST,5,2017,456000,May
BENTLEIGH EAST,6,2016,639460,June
BENTLEIGH EAST,6,2017,543143,June
BENTLEIGH EAST,7,2017,994000,July
BENTLEIGH EAST,7,2016,980349,July
BENTLEIGH EAST,8,2016,893045,August
BENTLEIGH EAST,8,2017,675373,August
BENTLEIGH EAST,9,2017,844500,September
BENTLEIGH EAST,9,2016,807662,September
BENTLEIGH EAST,10,2016,1156907,October
BENTLEIGH EAST,10,2017,1073333,October
