Year,City,Price,lat,lon
2019,Hobart,490000,-42.880554,147.324997
2019,Darwin,478500,-12.462827,130.841782
2019,Canberra,706825,-35.282001,149.128998
2020,Sydney,971000,-33.865143,151.2099
2020,Melbourne,736250,-37.840935,144.946457
2020,Brisbane,555250,-27.470125,153.021072
2020,Adelaide,495075,-34.92123,138.599503
2020,Perth,493200,-31.953512,115.857048
2020,Hobart,536125,-42.880554,147.324997
2020,Darwin,491000,-12.462827,130.841782
2020,Canberra,749625,-35.282001,149.128998
2021,Sydney,1128750,-33.865143,151.2099
2021,Melbourne,872500,-37.840935,144.946457
2021,Brisbane,630000,-27.470125,153.021072
2021,Adelaide,542500,-34.92123,138.599503
2021,Perth,542500,-31.953512,115.857048
2021,Hobart,622500,-42.880554,147.324997
2021,Darwin,555000,-12.462827,130.841782
2021,Canberra,875000,-35.282001,149.128998
