NSW,Australia,Bulgaria,179,161,118,68,75,57,54,38,47,36,39,42,60,139,164,135,178,117,107,30,23,53,34,8,27,21,6,26,23,12,27,6,36,55,68,27,34,21,11,6
NSW,Australia,Burundi,0,0,0,0,0,6,12,12,0,0,0,0,0,6,12,0,0,0,22,12,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,22,0
NSW,Australia,Cambodia,383,481,456,539,592,654,970,1334,1444,1456,1333,1464,1975,2184,2720,3514,4222,5210,5694,2678,131,121,120,191,232,246,538,446,448,412,361,576,835,708,1172,1402,1294,1814,1806,494
NSW,Australia,Cameroon,34,34,24,41,36,41,58,58,36,24,0,23,42,42,38,65,71,74,87,35,22,10,0,17,0,17,22,10,0,0,0,23,6,6,14,17,11,14,27,5
NSW,Australia,Canada,5941,7568,8511,10174,10036,9664,10073,10419,10036,9614,8503,8177,7927,7469,8311,9013,10215,11615,11936,4704,3565,4412,4539,4870,5560,4756,4997,4491,3256,3146,2851,2465,2323,2177,2671,2605,3111,3059,2588,408
NSW,Australia,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
NSW,Australia,Chile,151,226,412,599,726,775,789,1353,1863,1927,1521,1505,1404,1304,1325,1509,1714,1754,2072,835,55,94,184,215,342,307,321,909,759,679,549,473,492,380,413,609,502,566,584,109
NSW,Australia,China,88923,123775,162448,220861,253424,267093,283823,331918,382949,393811,367423,347153,355532,377203,444370,531389,619007,669740,680530,310933,45711,50311,67228,83857,81524,86781,106355,124858,140849,130495,115471,120497,124196,134011,164050,184697,199571,206192,175270,58693
NSW,Australia,Colombia,2779,3390,3196,2774,2668,2541,2807,2725,2972,2887,2964,3187,3439,3603,3781,4578,4875,4582,4893,2029,1303,1326,1048,794,856,1113,1151,1177,1364,1195,1080,1207,1195,1227,1381,1626,1167,1342,1197,307
NSW,Australia,Comoros,24,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Australia,"Congo, Democratic Republic of",0,0,0,0,0,0,0,11,0,0,0,0,0,5,39,68,47,47,35,12,0,0,0,0,0,0,0,11,0,0,0,0,0,5,39,20,11,11,11,0
NSW,Australia,"Congo, Republic of",0,0,0,0,0,0,2,12,12,23,12,12,12,12,0,0,0,11,12,6,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,11,0,0
NSW,Australia,Costa Rica,18,31,36,36,24,8,12,33,61,60,59,73,87,85,96,91,87,60,46,24,6,7,12,0,0,8,0,21,25,0,23,13,15,37,12,43,15,0,34,0
NSW,Australia,Cote d'Ivoire,12,17,12,0,0,11,0,0,0,0,0,0,0,0,11,23,23,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,11,11,11,0,0,0
NSW,Australia,Croatia,47,22,59,55,94,66,24,28,58,87,72,64,75,124,167,115,126,137,96,36,11,10,23,31,22,18,12,16,34,39,12,16,51,52,71,31,42,41,12,18
NSW,Australia,Cuba,0,0,0,0,0,0,5,12,12,17,24,12,23,35,24,12,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,11,11,0,0,0,0,0,0
NSW,Australia,Cyprus,130,138,102,95,59,65,38,36,35,23,11,34,42,48,42,36,43,41,46,17,58,42,6,11,23,17,2,0,11,11,11,22,6,12,6,12,7,5,10,5
NSW,Australia,Czech Republic,560,779,917,887,785,827,734,702,722,597,439,548,824,835,840,796,761,611,510,180,260,311,305,263,257,227,254,246,242,153,139,200,272,187,204,184,125,155,102,30
NSW,Australia,Denmark,220,260,292,383,519,597,576,543,536,393,263,214,275,264,229,258,383,406,458,223,100,104,112,167,219,261,168,231,224,141,47,106,83,48,85,138,119,82,170,31
NSW,Australia,Dominica,36,47,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Australia,Dominican Republic,12,0,10,24,0,10,32,24,12,0,11,12,12,0,5,17,29,36,20,12,0,0,10,12,0,10,20,0,0,0,11,0,0,0,5,5,5,0,8,0
NSW,Australia,East Timor,96,141,119,118,82,81,46,46,74,98,114,120,87,36,36,36,12,12,7,15,84,33,23,22,22,33,22,22,26,50,18,0,27,0,0,0,0,0,7,9
NSW,Australia,Ecuador,73,54,78,66,77,111,115,123,164,159,218,365,679,597,503,523,587,550,391,159,25,18,30,6,53,39,43,39,56,63,110,161,343,93,143,151,167,130,115,9
NSW,Australia,Egypt,160,273,344,362,397,432,521,733,850,720,604,567,652,685,905,1126,1209,1113,1020,440,76,141,152,98,145,120,161,301,250,168,148,255,184,289,365,334,297,249,204,62
NSW,Australia,El Salvador,27,24,24,39,35,23,17,28,24,12,40,42,70,35,46,36,39,68,75,30,15,0,0,15,11,11,17,4,0,0,40,6,22,11,22,12,15,32,15,0
