"Country","City","lat","lng","Population","Population_Density","Price_per_Square_Meter","Continent"
"United States","San Jose",37.3019,-121.8486,1798103,2667.808605,8556,"Americas"
"United States","Cleveland",41.4767,-81.6804,1710093,1020.341885,898,"Americas"
"United States","Atlanta",33.1136,-94.1672,5526,1.087153256,3265,"Americas"
"United States","Columbus",39.9862,-82.985,1562009,1516.513592,1712,"Americas"
"United States","Richmond",37.5295,-77.4756,1075798,951.1918656,2408,"Americas"
"United States","Austin",43.6718,-92.9783,25626,31.09951456,4280,"Americas"
"United States","Austin",30.3004,-97.7522,1687311,2047.707524,4280,"Americas"
"United States","Philadelphia",40.0077,-75.1339,5649300,1212.036044,3268,"Americas"
"United States","Knoxville",35.9692,-83.9496,586048,666.7212742,1839,"Americas"
"United States","Sacramento",38.5667,-121.4683,1898019,1985.375523,3297,"Americas"
"United States","Portland",45.5372,-122.65,2074775,1689.556189,4009,"Americas"
"United States","Las Vegas",36.2333,-115.2654,2104198,2839.673414,1815,"Americas"
"United States","San Diego",32.8312,-117.1225,3220118,1589.396841,5849,"Americas"
"United States","Washington",38.9047,-77.0163,5379184,1795.455274,6066,"Americas"
"United States","Honolulu",21.3294,-157.846,820987,2057.611529,7296,"Americas"
"United States","Colorado Springs",38.8674,-104.7606,642413,1257.168297,2054,"Americas"
"United States","Indianapolis",39.7771,-86.1458,1588961,1109.609637,1458,"Americas"
"United States","Memphis",35.1046,-89.9773,1066967,1029.890927,937,"Americas"
"United States","Jacksonville",30.3322,-81.6749,1181496,1111.473189,1524,"Americas"
"United States","Buffalo",42.9016,-78.8487,914341,962.4642105,1318,"Americas"
"United States","San Antonio",29.4658,-98.5253,2049293,1940.618371,1682,"Americas"
"United States","Tulsa",36.1284,-95.9042,671033,991.1861152,1181,"Americas"
"United States","Nashville",36.1715,-86.7843,1081903,969.4471326,2825,"Americas"
"United States","Salt Lake City",40.7777,-111.9306,1098526,1837,3081,"Americas"
"United States","Houston",29.7863,-95.3889,5464251,1628.688823,2064,"Americas"
"United States","Louisville",38.1663,-85.6485,1005654,992.7482725,1649,"Americas"
"United States","Raleigh",35.8325,-78.6435,1038738,1254.514493,2556,"Americas"
"United States","Little Rock",34.7256,-92.3576,439815,826.7199248,1338,"Americas"
"United States","Denver",39.7621,-104.8759,2876625,2226.489938,4151,"Americas"
"United States","Tucson",32.1545,-110.8782,888486,1176.802649,1597,"Americas"
"United States","Seattle",47.6211,-122.3244,3789215,1534.095142,6970,"Americas"
"United States","Los Angeles",34.1139,-118.4068,12750807,2951.575694,7348,"Americas"
"United States","Kansas City",39.1239,-94.5541,1636715,1081.053501,1768,"Americas"
"Uzbekistan","Tashkent",41.3,69.2667,2424100,4565.160075,840,"Asia"
