Country,Code,Year,Longitude,Latitude,Age Group,Recorded Deaths
Afghanistan,AFG,1990,65,33,: 70+,1755
African Region (WHO),,1990,0,0,: 70+,59151
Albania,ALB,1990,20,41,: 70+,1473
Algeria,DZA,1990,3,28,: 70+,6477
American Samoa,ASM,1990,-170,-14.3333,: 70+,10
Andorra,AND,1990,1.6,42.5,: 70+,30
Angola,AGO,1990,18.5,-12.5,: 70+,973
Antigua and Barbuda,ATG,1990,-61.8,17.05,: 70+,13
Argentina,ARG,1990,-64,-34,: 70+,19728
Armenia,ARM,1990,45,40,: 70+,1282
Australia,AUS,1990,133,-27,: 70+,13439
Austria,AUT,1990,13.3333,47.3333,: 70+,7043
Azerbaijan,AZE,1990,47.5,40.5,: 70+,1721
Bahamas,BHS,1990,-76,24.25,: 70+,33
Bahrain,BHR,1990,50.55,26,: 70+,115
Bangladesh,BGD,1990,90,24,: 70+,35253
Barbados,BRB,1990,-59.5333,13.1667,: 70+,79
Belarus,BLR,1990,28,53,: 70+,7465
Belgium,BEL,1990,4,50.8333,: 70+,14207
Belize,BLZ,1990,-88.75,17.25,: 70+,28
Benin,BEN,1990,2.25,9.5,: 70+,697
Bermuda,BMU,1990,-64.75,32.3333,: 70+,26
Bhutan,BTN,1990,90.5,27.5,: 70+,70
Bolivia,BOL,1990,-65,-17,: 70+,1211
Bosnia and Herzegovina,BIH,1990,18,44,: 70+,2172
Botswana,BWA,1990,24,-22,: 70+,311
Brazil,BRA,1990,-55,-10,: 70+,61501
Brunei,BRN,1990,114.6667,4.5,: 70+,90
Bulgaria,BGR,1990,25,43,: 70+,9430
Burkina Faso,BFA,1990,-2,13,: 70+,495
Burundi,BDI,1990,30,-3.5,: 70+,1139
Cambodia,KHM,1990,105,13,: 70+,3254
Cameroon,CMR,1990,12,6,: 70+,728
Canada,CAN,1990,-95,60,: 70+,29326
Cape Verde,CPV,1990,-24,16,: 70+,61
Central African Republic,CAF,1990,21,7,: 70+,260
Chad,TCD,1990,19,15,: 70+,794
Chile,CHL,1990,-71,-30,: 70+,3459
China,CHN,1990,105,35,: 70+,771784
Colombia,COL,1990,-72,4,: 70+,6214
Comoros,COM,1990,44.25,-12.1667,: 70+,90
Congo,COG,1990,15,-1,: 70+,293
Cook Islands,COK,1990,-159.7667,-21.2333,: 70+,7
Costa Rica,CRI,1990,-84,10,: 70+,694
Cote d'Ivoire,CIV,1990,-5,8,: 70+,698
Croatia,HRV,1990,15.5,45.1667,: 70+,5739
Cuba,CUB,1990,-80,21.5,: 70+,7714
Cyprus,CYP,1990,33,35,: 70+,552
Czechia,CZE,1990,15.5,49.75,: 70+,13200
Democratic Republic of Congo,COD,1990,25,0,: 70+,3230
Denmark,DNK,1990,10,56,: 70+,11282
Djibouti,DJI,1990,43,11.5,: 70+,33
Dominica,DMA,1990,-61.3333,15.4167,: 70+,25
Dominican Republic,DOM,1990,-70.6667,19,: 70+,1233
East Asia & Pacific (WB),,1990,0,0,: 70+,1060149
Eastern Mediterranean Region (WHO),,1990,0,0,: 70+,91995
Ecuador,ECU,1990,-77.5,-2,: 70+,1658
Egypt,EGY,1990,30,27,: 70+,10145
El Salvador,SLV,1990,-88.9167,13.8333,: 70+,487
England,,1990,0,0,: 70+,94424
Equatorial Guinea,GNQ,1990,10,2,: 70+,47
Eritrea,ERI,1990,39,15,: 70+,90
Estonia,EST,1990,26,59,: 70+,1332
Eswatini,SWZ,1990,31.5,-26.5,: 70+,105
Ethiopia,ETH,1990,38,8,: 70+,3316
Europe & Central Asia (WB),,1990,0,0,: 70+,753500
European Region (WHO),,1990,0,0,: 70+,758455
Fiji,FJI,1990,175,-18,: 70+,189
Finland,FIN,1990,26,64,: 70+,4532
France,FRA,1990,2,46,: 70+,47764
G20,,1990,0,0,: 70+,2259047
Gabon,GAB,1990,11.75,-1,: 70+,112
Gambia,GMB,1990,-16.5667,13.4667,: 70+,104
Georgia,GEO,1990,43.5,42,: 70+,2701
Germany,DEU,1990,9,51,: 70+,108172
Ghana,GHA,1990,-2,8,: 70+,1041
Greece,GRC,1990,22,39,: 70+,12148
Greenland,GRL,1990,-40,72,: 70+,34
Grenada,GRD,1990,-61.6667,12.1167,: 70+,26
Guam,GUM,1990,144.7833,13.4667,: 70+,22
Guatemala,GTM,1990,-90.25,15.5,: 70+,993
Guinea,GIN,1990,-10,11,: 70+,876
Guinea-Bissau,GNB,1990,-15,12,: 70+,79
Guyana,GUY,1990,-59,5,: 70+,119
Haiti,HTI,1990,-72.4167,19,: 70+,587
Honduras,HND,1990,-86.5,15,: 70+,690
Hungary,HUN,1990,20,47,: 70+,12351
Iceland,ISL,1990,-18,65,: 70+,238
India,IND,1990,77,20,: 70+,223663
Indonesia,IDN,1990,120,-5,: 70+,37669
Iran,IRN,1990,53,32,: 70+,7043
Iraq,IRQ,1990,44,33,: 70+,4616
Ireland,IRL,1990,-8,53,: 70+,5937
Israel,ISR,1990,34.75,31.5,: 70+,3304
Italy,ITA,1990,12.8333,42.8333,: 70+,59286
Jamaica,JAM,1990,-77.5,18.25,: 70+,559
Japan,JPN,1990,138,36,: 70+,106439
Jordan,JOR,1990,36,31,: 70+,594
Kazakhstan,KAZ,1990,68,48,: 70+,5269
Kenya,KEN,1990,38,1,: 70+,1915
Kiribati,KIR,1990,173,1.4167,: 70+,31
Kuwait,KWT,1990,47.6581,29.3375,: 70+,134
Kyrgyzstan,KGZ,1990,75,41,: 70+,1601
Laos,LAO,1990,105,18,: 70+,1757
Latin America & Caribbean (WB),,1990,0,0,: 70+,137693
Latvia,LVA,1990,25,57,: 70+,2206
Lebanon,LBN,1990,35.8333,33.8333,: 70+,1409
Lesotho,LSO,1990,28.5,-29.5,: 70+,485
Liberia,LBR,1990,-9.5,6.5,: 70+,245
Libya,LBY,1990,17,25,: 70+,654
Lithuania,LTU,1990,24,56,: 70+,2438
Luxembourg,LUX,1990,6.1667,49.75,: 70+,434
Madagascar,MDG,1990,47,-20,: 70+,1579
Malawi,MWI,1990,34,-13.5,: 70+,1153
Malaysia,MYS,1990,112.5,2.5,: 70+,5100
Maldives,MDV,1990,73,3.25,: 70+,54
Mali,MLI,1990,-4,17,: 70+,535
Malta,MLT,1990,14.5833,35.8333,: 70+,280
Marshall Islands,MHL,1990,168,9,: 70+,8
Mauritania,MRT,1990,-12,20,: 70+,167
Mauritius,MUS,1990,57.55,-20.2833,: 70+,363
Mexico,MEX,1990,-102,23,: 70+,18708
Micronesia (country),FSM,1990,158.25,6.9167,: 70+,36
Middle East & North Africa (WB),,1990,0,0,: 70+,48935
Moldova,MDA,1990,29,47,: 70+,1930
Monaco,MCO,1990,7.4,43.7333,: 70+,56
Mongolia,MNG,1990,105,46,: 70+,705
Montenegro,MNE,1990,19,42,: 70+,393
Morocco,MAR,1990,-5,32,: 70+,4480
Mozambique,MOZ,1990,35,-18.25,: 70+,1480
Myanmar,MMR,1990,98,22,: 70+,27090
Namibia,NAM,1990,17,-22,: 70+,503
Nauru,NRU,1990,166.9167,-0.5333,: 70+,2
Nepal,NPL,1990,84,28,: 70+,8466
Netherlands,NLD,1990,5.75,52.5,: 70+,22933
New Zealand,NZL,1990,174,-41,: 70+,3644
Nicaragua,NIC,1990,-85,13,: 70+,366
Niger,NER,1990,8,16,: 70+,177
Nigeria,NGA,1990,8,10,: 70+,5071
Niue,NIU,1990,-169.8667,-19.0333,: 70+,1
North America (WB),,1990,0,0,: 70+,315188
North Korea,PRK,1990,127,40,: 70+,6995
North Macedonia,MKD,1990,22,41.8333,: 70+,1406
Northern Ireland,,1990,0,0,: 70+,2416
Northern Mariana Islands,MNP,1990,145.75,15.2,: 70+,6
Norway,NOR,1990,10,62,: 70+,5032
OECD Countries,,1990,0,0,: 70+,1047753
Oman,OMN,1990,57,21,: 70+,198
Pakistan,PAK,1990,70,30,: 70+,47111
Palau,PLW,1990,134.5,7.5,: 70+,6
Palestine,PSE,1990,35.25,32,: 70+,533
Panama,PAN,1990,-80,9,: 70+,488
Papua New Guinea,PNG,1990,147,-6,: 70+,920
Paraguay,PRY,1990,-58,-23,: 70+,1172
Peru,PER,1990,-76,-10,: 70+,1451
Philippines,PHL,1990,122,13,: 70+,16476
Poland,POL,1990,20,52,: 70+,37240
Portugal,PRT,1990,-8,39.5,: 70+,7091
Puerto Rico,PRI,1990,-66.5,18.25,: 70+,1317
Qatar,QAT,1990,51.25,25.5,: 70+,22
Region of the Americas (WHO),,1990,0,0,: 70+,451519
Romania,ROU,1990,25,46,: 70+,16712
Russia,RUS,1990,100,60,: 70+,75638
Rwanda,RWA,1990,30,-2,: 70+,1642
Saint Kitts and Nevis,KNA,1990,-62.75,17.3333,: 70+,13
Saint Lucia,LCA,1990,-61.1333,13.8833,: 70+,34
Saint Vincent and the Grenadines,VCT,1990,-61.2,13.25,: 70+,18
Samoa,WSM,1990,-172.3333,-13.5833,: 70+,69
San Marino,SMR,1990,12.4167,43.7667,: 70+,19
Sao Tome and Principe,STP,1990,7,1,: 70+,10
Saudi Arabia,SAU,1990,45,25,: 70+,1309
Scotland,,1990,0,0,: 70+,11038
Senegal,SEN,1990,-14,14,: 70+,684
Serbia,SRB,1990,21,44,: 70+,6726
Seychelles,SYC,1990,55.6667,-4.5833,: 70+,36
Sierra Leone,SLE,1990,-11.5,8.5,: 70+,820
Singapore,SGP,1990,103.8,1.3667,: 70+,1248
Slovakia,SVK,1990,19.5,48.6667,: 70+,3957
Slovenia,SVN,1990,15,46,: 70+,1318
Solomon Islands,SLB,1990,159,-8,: 70+,105
Somalia,SOM,1990,49,10,: 70+,607
South Africa,ZAF,1990,24,-29,: 70+,10191
South Asia (WB),,1990,0,0,: 70+,321168
South Korea,KOR,1990,127.5,37,: 70+,14995
South Sudan,SSD,1990,30,8,: 70+,704
South-East Asia Region (WHO),,1990,0,0,: 70+,363213
Spain,ESP,1990,-4,40,: 70+,35595
Sri Lanka,LKA,1990,81,7,: 70+,4796
Sub-Saharan Africa (WB),,1990,0,0,: 70+,57461
Sudan,SDN,1990,30,15,: 70+,4181
Suriname,SUR,1990,-56,4,: 70+,89
Sweden,SWE,1990,15,62,: 70+,11511
Switzerland,CHE,1990,8,47,: 70+,7226
Syria,SYR,1990,38,35,: 70+,2695
Taiwan,TWN,1990,121,23.5,: 70+,6450
Tajikistan,TJK,1990,71,39,: 70+,1145
Tanzania,TZA,1990,35,-6,: 70+,4190
Thailand,THA,1990,100,15,: 70+,19056
Timor,TLS,1990,125.5167,-8.55,: 70+,101
Togo,TGO,1990,1.1667,8,: 70+,426
Tokelau,TKL,1990,-172,-9,: 70+,1
Tonga,TON,1990,-175,-20,: 70+,38
Trinidad and Tobago,TTO,1990,-61,11,: 70+,391
Tunisia,TUN,1990,9,34,: 70+,2593
Turkey,TUR,1990,35,39,: 70+,20069
Turkmenistan,TKM,1990,60,40,: 70+,792
Tuvalu,TUV,1990,178,-8,: 70+,4
Uganda,UGA,1990,32,1,: 70+,1495
Ukraine,UKR,1990,32,49,: 70+,39445
United Arab Emirates,ARE,1990,54,24,: 70+,89
United Kingdom,GBR,1990,-2,54,: 70+,114060
United States,USA,1990,-97,38,: 70+,285836
United States Virgin Islands,VIR,1990,-64.8333,18.3333,: 70+,19
Uruguay,URY,1990,-56,-33,: 70+,2383
Uzbekistan,UZB,1990,64,41,: 70+,2570
Vanuatu,VUT,1990,167,-16,: 70+,42
Venezuela,VEN,1990,-66,8,: 70+,4192
Vietnam,VNM,1990,106,16,: 70+,22367
Wales,,1990,0,0,: 70+,6182
Western Pacific Region (WHO),,1990,0,0,: 70+,966415
World,OWID_WRL,1990,0,0,: 70+,2696675
World Bank High Income,,1990,0,0,: 70+,1023946
World Bank Low Income,,1990,0,0,: 70+,46827
World Bank Lower Middle Income,,1990,0,0,: 70+,516026
World Bank Upper Middle Income,,1990,0,0,: 70+,1108700
Yemen,YEM,1990,48,15,: 70+,2213
Zambia,ZMB,1990,30,-15,: 70+,1148
Zimbabwe,ZWE,1990,30,-20,: 70+,2118
Afghanistan,AFG,1990,65,33,: 50-69,2845
African Region (WHO),,1990,0,0,: 50-69,84895
Albania,ALB,1990,20,41,: 50-69,1113
Algeria,DZA,1990,3,28,: 50-69,5679
American Samoa,ASM,1990,-170,-14.3333,: 50-69,18
Andorra,AND,1990,1.6,42.5,: 50-69,25
Angola,AGO,1990,18.5,-12.5,: 50-69,2541
Antigua and Barbuda,ATG,1990,-61.8,17.05,: 50-69,10
Argentina,ARG,1990,-64,-34,: 50-69,22558
Armenia,ARM,1990,45,40,: 50-69,2589
Australia,AUS,1990,133,-27,: 50-69,10147
Austria,AUT,1990,13.3333,47.3333,: 50-69,4970
Azerbaijan,AZE,1990,47.5,40.5,: 50-69,4388
Bahamas,BHS,1990,-76,24.25,: 50-69,47
Bahrain,BHR,1990,50.55,26,: 50-69,155
Bangladesh,BGD,1990,90,24,: 50-69,40858
Barbados,BRB,1990,-59.5333,13.1667,: 50-69,45
Belarus,BLR,1990,28,53,: 50-69,11380
Belgium,BEL,1990,4,50.8333,: 50-69,8750
Belize,BLZ,1990,-88.75,17.25,: 50-69,24
Benin,BEN,1990,2.25,9.5,: 50-69,645
Bermuda,BMU,1990,-64.75,32.3333,: 50-69,28
Bhutan,BTN,1990,90.5,27.5,: 50-69,109
Bolivia,BOL,1990,-65,-17,: 50-69,1431
Bosnia and Herzegovina,BIH,1990,18,44,: 50-69,3538
Botswana,BWA,1990,24,-22,: 50-69,460
Brazil,BRA,1990,-55,-10,: 50-69,68455
Brunei,BRN,1990,114.6667,4.5,: 50-69,84
Bulgaria,BGR,1990,25,43,: 50-69,14799
Burkina Faso,BFA,1990,-2,13,: 50-69,1087
Burundi,BDI,1990,30,-3.5,: 50-69,1694
Cambodia,KHM,1990,105,13,: 50-69,4556
Cameroon,CMR,1990,12,6,: 50-69,1552
Canada,CAN,1990,-95,60,: 50-69,18880
Cape Verde,CPV,1990,-24,16,: 50-69,47
Central African Republic,CAF,1990,21,7,: 50-69,869
Chad,TCD,1990,19,15,: 50-69,760
Chile,CHL,1990,-71,-30,: 50-69,4865
China,CHN,1990,105,35,: 50-69,645661
Colombia,COL,1990,-72,4,: 50-69,7510
Comoros,COM,1990,44.25,-12.1667,: 50-69,81
Congo,COG,1990,15,-1,: 50-69,525
Cook Islands,COK,1990,-159.7667,-21.2333,: 50-69,9
Costa Rica,CRI,1990,-84,10,: 50-69,523
Cote d'Ivoire,CIV,1990,-5,8,: 50-69,1683
Croatia,HRV,1990,15.5,45.1667,: 50-69,6418
Cuba,CUB,1990,-80,21.5,: 50-69,5676
Cyprus,CYP,1990,33,35,: 50-69,384
Czechia,CZE,1990,15.5,49.75,: 50-69,14056
Democratic Republic of Congo,COD,1990,25,0,: 50-69,6553
Denmark,DNK,1990,10,56,: 50-69,5592
Djibouti,DJI,1990,43,11.5,: 50-69,73
Dominica,DMA,1990,-61.3333,15.4167,: 50-69,18
Dominican Republic,DOM,1990,-70.6667,19,: 50-69,1086
East Asia & Pacific (WB),,1990,0,0,: 50-69,928355
Eastern Mediterranean Region (WHO),,1990,0,0,: 50-69,115616
Ecuador,ECU,1990,-77.5,-2,: 50-69,1253
Egypt,EGY,1990,30,27,: 50-69,17960
El Salvador,SLV,1990,-88.9167,13.8333,: 50-69,575
England,,1990,0,0,: 50-69,49053
Equatorial Guinea,GNQ,1990,10,2,: 50-69,125
Eritrea,ERI,1990,39,15,: 50-69,515
Estonia,EST,1990,26,59,: 50-69,1895
Eswatini,SWZ,1990,31.5,-26.5,: 50-69,133
Ethiopia,ETH,1990,38,8,: 50-69,7536
Europe & Central Asia (WB),,1990,0,0,: 50-69,762471
European Region (WHO),,1990,0,0,: 50-69,766688
Fiji,FJI,1990,175,-18,: 50-69,384
Finland,FIN,1990,26,64,: 50-69,3799
France,FRA,1990,2,46,: 50-69,33109
G20,,1990,0,0,: 50-69,2085112
Gabon,GAB,1990,11.75,-1,: 50-69,211
Gambia,GMB,1990,-16.5667,13.4667,: 50-69,155
Georgia,GEO,1990,43.5,42,: 50-69,5696
Germany,DEU,1990,9,51,: 50-69,67464
Ghana,GHA,1990,-2,8,: 50-69,1755
Greece,GRC,1990,22,39,: 50-69,7870
Greenland,GRL,1990,-40,72,: 50-69,56
Grenada,GRD,1990,-61.6667,12.1167,: 50-69,23
Guam,GUM,1990,144.7833,13.4667,: 50-69,49
Guatemala,GTM,1990,-90.25,15.5,: 50-69,1018
Guinea,GIN,1990,-10,11,: 50-69,1088
Guinea-Bissau,GNB,1990,-15,12,: 50-69,171
Guyana,GUY,1990,-59,5,: 50-69,248
Haiti,HTI,1990,-72.4167,19,: 50-69,1754
Honduras,HND,1990,-86.5,15,: 50-69,643
Hungary,HUN,1990,20,47,: 50-69,15925
Iceland,ISL,1990,-18,65,: 50-69,132
India,IND,1990,77,20,: 50-69,331084
Indonesia,IDN,1990,120,-5,: 50-69,54979
Iran,IRN,1990,53,32,: 50-69,15440
Iraq,IRQ,1990,44,33,: 50-69,6035
Ireland,IRL,1990,-8,53,: 50-69,2807
Israel,ISR,1990,34.75,31.5,: 50-69,2126
Italy,ITA,1990,12.8333,42.8333,: 50-69,42376
Jamaica,JAM,1990,-77.5,18.25,: 50-69,480
Japan,JPN,1990,138,36,: 50-69,59686
Jordan,JOR,1990,36,31,: 50-69,974
Kazakhstan,KAZ,1990,68,48,: 50-69,12541
Kenya,KEN,1990,38,1,: 50-69,2031
Kiribati,KIR,1990,173,1.4167,: 50-69,86
Kuwait,KWT,1990,47.6581,29.3375,: 50-69,268
Kyrgyzstan,KGZ,1990,75,41,: 50-69,2735
Laos,LAO,1990,105,18,: 50-69,2623
Latin America & Caribbean (WB),,1990,0,0,: 50-69,144006
Latvia,LVA,1990,25,57,: 50-69,3249
Lebanon,LBN,1990,35.8333,33.8333,: 50-69,1985
Lesotho,LSO,1990,28.5,-29.5,: 50-69,661
Liberia,LBR,1990,-9.5,6.5,: 50-69,325
Libya,LBY,1990,17,25,: 50-69,782
Lithuania,LTU,1990,24,56,: 50-69,3487
Luxembourg,LUX,1990,6.1667,49.75,: 50-69,312
Madagascar,MDG,1990,47,-20,: 50-69,2682
Malawi,MWI,1990,34,-13.5,: 50-69,1509
Malaysia,MYS,1990,112.5,2.5,: 50-69,5365
Maldives,MDV,1990,73,3.25,: 50-69,82
Mali,MLI,1990,-4,17,: 50-69,847
Malta,MLT,1990,14.5833,35.8333,: 50-69,239
Marshall Islands,MHL,1990,168,9,: 50-69,15
Mauritania,MRT,1990,-12,20,: 50-69,358
Mauritius,MUS,1990,57.55,-20.2833,: 50-69,528
Mexico,MEX,1990,-102,23,: 50-69,13763
Micronesia (country),FSM,1990,158.25,6.9167,: 50-69,67
Middle East & North Africa (WB),,1990,0,0,: 50-69,73993
Moldova,MDA,1990,29,47,: 50-69,3575
Monaco,MCO,1990,7.4,43.7333,: 50-69,28
Mongolia,MNG,1990,105,46,: 50-69,1042
Montenegro,MNE,1990,19,42,: 50-69,519
Morocco,MAR,1990,-5,32,: 50-69,7114
Mozambique,MOZ,1990,35,-18.25,: 50-69,2516
Myanmar,MMR,1990,98,22,: 50-69,35017
Namibia,NAM,1990,17,-22,: 50-69,418
Nauru,NRU,1990,166.9167,-0.5333,: 50-69,6
Nepal,NPL,1990,84,28,: 50-69,9535
Netherlands,NLD,1990,5.75,52.5,: 50-69,12307
New Zealand,NZL,1990,174,-41,: 50-69,2265
Nicaragua,NIC,1990,-85,13,: 50-69,344
Niger,NER,1990,8,16,: 50-69,375
Nigeria,NGA,1990,8,10,: 50-69,7176
Niue,NIU,1990,-169.8667,-19.0333,: 50-69,1
North America (WB),,1990,0,0,: 50-69,221008
North Korea,PRK,1990,127,40,: 50-69,11119
North Macedonia,MKD,1990,22,41.8333,: 50-69,1908
Northern Ireland,,1990,0,0,: 50-69,1518
Northern Mariana Islands,MNP,1990,145.75,15.2,: 50-69,14
Norway,NOR,1990,10,62,: 50-69,2786
OECD Countries,,1990,0,0,: 50-69,759817
Oman,OMN,1990,57,21,: 50-69,440
Pakistan,PAK,1990,70,30,: 50-69,40113
Palau,PLW,1990,134.5,7.5,: 50-69,9
Palestine,PSE,1990,35.25,32,: 50-69,547
Panama,PAN,1990,-80,9,: 50-69,338
Papua New Guinea,PNG,1990,147,-6,: 50-69,1754
Paraguay,PRY,1990,-58,-23,: 50-69,807
Peru,PER,1990,-76,-10,: 50-69,1566
Philippines,PHL,1990,122,13,: 50-69,18042
Poland,POL,1990,20,52,: 50-69,48148
Portugal,PRT,1990,-8,39.5,: 50-69,6033
Puerto Rico,PRI,1990,-66.5,18.25,: 50-69,974
Qatar,QAT,1990,51.25,25.5,: 50-69,63
Region of the Americas (WHO),,1990,0,0,: 50-69,363986
Romania,ROU,1990,25,46,: 50-69,24322
Russia,RUS,1990,100,60,: 50-69,158097
Rwanda,RWA,1990,30,-2,: 50-69,2176
Saint Kitts and Nevis,KNA,1990,-62.75,17.3333,: 50-69,9
Saint Lucia,LCA,1990,-61.1333,13.8833,: 50-69,32
Saint Vincent and the Grenadines,VCT,1990,-61.2,13.25,: 50-69,17
Samoa,WSM,1990,-172.3333,-13.5833,: 50-69,94
San Marino,SMR,1990,12.4167,43.7667,: 50-69,11
Sao Tome and Principe,STP,1990,7,1,: 50-69,12
Saudi Arabia,SAU,1990,45,25,: 50-69,2110
Scotland,,1990,0,0,: 50-69,7290
Senegal,SEN,1990,-14,14,: 50-69,1179
Serbia,SRB,1990,21,44,: 50-69,11633
Seychelles,SYC,1990,55.6667,-4.5833,: 50-69,32
Sierra Leone,SLE,1990,-11.5,8.5,: 50-69,935
Singapore,SGP,1990,103.8,1.3667,: 50-69,1254
Slovakia,SVK,1990,19.5,48.6667,: 50-69,5971
Slovenia,SVN,1990,15,46,: 50-69,1563
Solomon Islands,SLB,1990,159,-8,: 50-69,315
Somalia,SOM,1990,49,10,: 50-69,1532
South Africa,ZAF,1990,24,-29,: 50-69,12445
South Asia (WB),,1990,0,0,: 50-69,429037
South Korea,KOR,1990,127.5,37,: 50-69,20870
South Sudan,SSD,1990,30,8,: 50-69,890
South-East Asia Region (WHO),,1990,0,0,: 50-69,508097
Spain,ESP,1990,-4,40,: 50-69,25719
Sri Lanka,LKA,1990,81,7,: 50-69,4412
Sub-Saharan Africa (WB),,1990,0,0,: 50-69,86472
Sudan,SDN,1990,30,15,: 50-69,5725
Suriname,SUR,1990,-56,4,: 50-69,134
Sweden,SWE,1990,15,62,: 50-69,4698
Switzerland,CHE,1990,8,47,: 50-69,4081
Syria,SYR,1990,38,35,: 50-69,4400
Taiwan,TWN,1990,121,23.5,: 50-69,8428
Tajikistan,TJK,1990,71,39,: 50-69,2063
Tanzania,TZA,1990,35,-6,: 50-69,5526
Thailand,THA,1990,100,15,: 50-69,20741
Timor,TLS,1990,125.5167,-8.55,: 50-69,163
Togo,TGO,1990,1.1667,8,: 50-69,583
Tokelau,TKL,1990,-172,-9,: 50-69,1
Tonga,TON,1990,-175,-20,: 50-69,37
Trinidad and Tobago,TTO,1990,-61,11,: 50-69,481
Tunisia,TUN,1990,9,34,: 50-69,2436
Turkey,TUR,1990,35,39,: 50-69,36634
Turkmenistan,TKM,1990,60,40,: 50-69,1912
Tuvalu,TUV,1990,178,-8,: 50-69,9
Uganda,UGA,1990,32,1,: 50-69,1796
Ukraine,UKR,1990,32,49,: 50-69,63910
United Arab Emirates,ARE,1990,54,24,: 50-69,244
United Kingdom,GBR,1990,-2,54,: 50-69,61379
United States,USA,1990,-97,38,: 50-69,202101
United States Virgin Islands,VIR,1990,-64.8333,18.3333,: 50-69,26
Uruguay,URY,1990,-56,-33,: 50-69,2577
Uzbekistan,UZB,1990,64,41,: 50-69,5626
Vanuatu,VUT,1990,167,-16,: 50-69,52
Venezuela,VEN,1990,-66,8,: 50-69,4698
Vietnam,VNM,1990,106,16,: 50-69,23404
Wales,,1990,0,0,: 50-69,3518
Western Pacific Region (WHO),,1990,0,0,: 50-69,803574
World,OWID_WRL,1990,0,0,: 50-69,2648398
World Bank High Income,,1990,0,0,: 50-69,727510
World Bank Low Income,,1990,0,0,: 50-69,72006
World Bank Lower Middle Income,,1990,0,0,: 50-69,712806
World Bank Upper Middle Income,,1990,0,0,: 50-69,1134930
Yemen,YEM,1990,48,15,: 50-69,4922
Zambia,ZMB,1990,30,-15,: 50-69,1304
Zimbabwe,ZWE,1990,30,-20,: 50-69,2728
Afghanistan,AFG,1990,65,33,: 15-49 years,573
African Region (WHO),,1990,0,0,: 15-49 years,31408
Albania,ALB,1990,20,41,: 15-49 years,165
Algeria,DZA,1990,3,28,: 15-49 years,1624
American Samoa,ASM,1990,-170,-14.3333,: 15-49 years,6
Andorra,AND,1990,1.6,42.5,: 15-49 years,4
Angola,AGO,1990,18.5,-12.5,: 15-49 years,992
Antigua and Barbuda,ATG,1990,-61.8,17.05,: 15-49 years,2
Argentina,ARG,1990,-64,-34,: 15-49 years,4129
Armenia,ARM,1990,45,40,: 15-49 years,372
Australia,AUS,1990,133,-27,: 15-49 years,1174
Austria,AUT,1990,13.3333,47.3333,: 15-49 years,717
Azerbaijan,AZE,1990,47.5,40.5,: 15-49 years,819
Bahamas,BHS,1990,-76,24.25,: 15-49 years,13
Bahrain,BHR,1990,50.55,26,: 15-49 years,41
Bangladesh,BGD,1990,90,24,: 15-49 years,11137
Barbados,BRB,1990,-59.5333,13.1667,: 15-49 years,11
Belarus,BLR,1990,28,53,: 15-49 years,1757
Belgium,BEL,1990,4,50.8333,: 15-49 years,984
Belize,BLZ,1990,-88.75,17.25,: 15-49 years,4
Benin,BEN,1990,2.25,9.5,: 15-49 years,175
Bermuda,BMU,1990,-64.75,32.3333,: 15-49 years,4
Bhutan,BTN,1990,90.5,27.5,: 15-49 years,30
Bolivia,BOL,1990,-65,-17,: 15-49 years,337
Bosnia and Herzegovina,BIH,1990,18,44,: 15-49 years,495
Botswana,BWA,1990,24,-22,: 15-49 years,153
Brazil,BRA,1990,-55,-10,: 15-49 years,20064
Brunei,BRN,1990,114.6667,4.5,: 15-49 years,30
Bulgaria,BGR,1990,25,43,: 15-49 years,2282
Burkina Faso,BFA,1990,-2,13,: 15-49 years,349
Burundi,BDI,1990,30,-3.5,: 15-49 years,733
Cambodia,KHM,1990,105,13,: 15-49 years,1189
Cameroon,CMR,1990,12,6,: 15-49 years,422
Canada,CAN,1990,-95,60,: 15-49 years,2384
Cape Verde,CPV,1990,-24,16,: 15-49 years,8
Central African Republic,CAF,1990,21,7,: 15-49 years,392
Chad,TCD,1990,19,15,: 15-49 years,257
Chile,CHL,1990,-71,-30,: 15-49 years,1056
China,CHN,1990,105,35,: 15-49 years,114330
Colombia,COL,1990,-72,4,: 15-49 years,1554
Comoros,COM,1990,44.25,-12.1667,: 15-49 years,25
Congo,COG,1990,15,-1,: 15-49 years,202
Cook Islands,COK,1990,-159.7667,-21.2333,: 15-49 years,2
Costa Rica,CRI,1990,-84,10,: 15-49 years,110
Cote d'Ivoire,CIV,1990,-5,8,: 15-49 years,784
Croatia,HRV,1990,15.5,45.1667,: 15-49 years,854
Cuba,CUB,1990,-80,21.5,: 15-49 years,1076
Cyprus,CYP,1990,33,35,: 15-49 years,57
Czechia,CZE,1990,15.5,49.75,: 15-49 years,1866
Democratic Republic of Congo,COD,1990,25,0,: 15-49 years,2008
Denmark,DNK,1990,10,56,: 15-49 years,589
Djibouti,DJI,1990,43,11.5,: 15-49 years,36
Dominica,DMA,1990,-61.3333,15.4167,: 15-49 years,3
Dominican Republic,DOM,1990,-70.6667,19,: 15-49 years,315
East Asia & Pacific (WB),,1990,0,0,: 15-49 years,183435
Eastern Mediterranean Region (WHO),,1990,0,0,: 15-49 years,30067
Ecuador,ECU,1990,-77.5,-2,: 15-49 years,373
Egypt,EGY,1990,30,27,: 15-49 years,4892
