HDI Rank,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Test2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11.00,Finland,0.79,0.79,0.80,0.81,0.82,0.82,0.83,0.84,0.85,0.85,0.86,0.87,0.87,0.88,0.90,0.91,0.91,0.92,0.92,0.91,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.94,0.94,0.94
26.00,France,0.79,0.80,0.80,0.81,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.90,0.89,0.90,0.90,0.90
119.00,Gabon,0.61,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.65,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.69,0.70,0.70
172.00,Gambia,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.40,0.40,0.41,0.42,0.42,0.43,0.44,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.49,0.50
61.00,Georgia,..,..,..,..,..,..,..,..,..,..,0.69,0.69,0.70,0.71,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.77,0.78,0.78,0.79,0.79,0.80,0.81,0.81
6.00,Germany,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.90,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.95,0.95
138.00,Ghana,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.50,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.59,0.59,0.60,0.60,0.61,0.61
32.00,Greece,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.79,0.80,0.80,0.80,0.81,0.83,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.87,0.86,0.87,0.87,0.88,0.88,0.87,0.88,0.88,0.89
74.00,Grenada,..,..,..,..,..,..,..,..,..,..,..,..,0.72,0.73,0.73,0.74,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.78
127.00,Guatemala,0.48,0.49,0.49,0.50,0.50,0.51,0.52,0.53,0.53,0.54,0.55,0.56,0.56,0.57,0.57,0.57,0.58,0.59,0.60,0.60,0.61,0.61,0.62,0.62,0.65,0.65,0.65,0.66,0.66,0.66
178.00,Guinea,0.28,0.29,0.29,0.30,0.30,0.31,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.35,0.37,0.38,0.39,0.40,0.41,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.47,0.48
175.00,Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.40,0.41,0.42,0.42,0.43,0.44,0.45,0.45,0.45,0.46,0.46,0.47,0.47,0.47,0.48
122.00,Guyana,0.55,0.54,0.56,0.57,0.58,0.59,0.60,0.60,0.61,0.61,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.64,0.64,0.65,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.68
170.00,Haiti,0.41,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.49,0.49,0.50,0.50,0.51,0.51,0.51
132.00,Honduras,0.52,0.52,0.52,0.53,0.53,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.60,0.61,0.60,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.63,0.63,0.63,0.63
4.00," Hong Kong,China (SAR)",0.78,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.84,0.85,0.85,0.87,0.87,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95
40.00,Hungary,0.71,0.71,0.71,0.72,0.74,0.75,0.75,0.75,0.76,0.77,0.77,0.78,0.79,0.80,0.80,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.85
4.00,Iceland,0.81,0.82,0.82,0.82,0.83,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.90,0.90,0.90,0.91,0.92,0.93,0.93,0.93,0.94,0.94,0.95,0.95
131.00,India,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.50,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.60,0.62,0.62,0.63,0.64,0.64,0.65
107.00,Indonesia,0.52,0.53,0.53,0.54,0.55,0.56,0.57,0.59,0.59,0.59,0.60,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.70,0.70,0.71,0.71,0.72
70.00,Iran (Islamic Republic of),0.57,0.58,0.60,0.61,0.62,0.63,0.63,0.64,0.65,0.65,0.66,0.67,0.67,0.68,0.68,0.68,0.72,0.72,0.73,0.73,0.74,0.75,0.77,0.77,0.77,0.77,0.78,0.79,0.79,0.78
123.00,Iraq,0.56,0.51,0.53,0.55,0.55,0.54,0.56,0.57,0.58,0.59,0.60,0.60,0.60,0.59,0.62,0.62,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.65,0.65,0.65,0.66,0.67,0.67,0.67
2.00,Ireland,0.77,0.78,0.78,0.79,0.80,0.81,0.81,0.82,0.85,0.86,0.87,0.87,0.88,0.89,0.90,0.90,0.91,0.91,0.91,0.91,0.90,0.90,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96
19.00,Israel,0.80,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.92,0.92
