Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion,,,,
Kenya,Sub-Saharan Africa,Fourmeter,98,29623,0.330824022,11076,1.097401845,,,,
Liberia,Sub-Saharan Africa,Fourmeter,60,3350,1.791044776,11076,1.097401845,,,,
Madagascar,Sub-Saharan Africa,Fourmeter,114,12577,0.906416475,11076,1.097401845,,,,
Mauritania,Sub-Saharan Africa,Fourmeter,1081,4972,21.74175382,11076,1.097401845,,,,
Mozambique,Sub-Saharan Africa,Fourmeter,1127,17660,6.381653454,11076,1.097401845,,,,
Nigeria,Sub-Saharan Africa,Fourmeter,2083,109412,1.90381311,11076,1.097401845,,,,
Guinea-Bissau,Sub-Saharan Africa,Fourmeter,128,1150,11.13043478,11076,1.097401845,,,,
South Africa,Sub-Saharan Africa,Fourmeter,836,470466,0.177696157,11076,1.097401845,,,,
Senegal,Sub-Saharan Africa,Fourmeter,1348,13848,9.734257655,11076,1.097401845,,,,
Sierra Leone,Sub-Saharan Africa,Fourmeter,32,2285,1.400437637,11076,1.097401845,,,,
Somalia,Sub-Saharan Africa,Fourmeter,10,4300,0.23255814,11076,1.097401845,,,,
Sudan,Sub-Saharan Africa,Fourmeter,61,62128,0.098184394,11076,1.097401845,,,,
Togo,Sub-Saharan Africa,Fourmeter,45,7493,0.600560523,11076,1.097401845,,,,
Sao Tome and Principe,Sub-Saharan Africa,Fourmeter,0,178,0,11076,1.097401845,,,,
Tanzania,Sub-Saharan Africa,Fourmeter,45,17035,0.264162019,11076,1.097401845,,,,
Namibia,Sub-Saharan Africa,Fourmeter,4,12417,0.0322139,11076,1.097401845,,,,
Angola,Sub-Saharan Africa,Fivemeter,476,27653,1.721332224,13909,1.378093378,,,,
Benin,Sub-Saharan Africa,Fivemeter,976,5962,16.37034552,13909,1.378093378,,,,
"Congo, Rep.",Sub-Saharan Africa,Fivemeter,17,2881,0.590072891,13909,1.378093378,,,,
"Congo, Dem. Rep.",Sub-Saharan Africa,Fivemeter,17,37331,0.04553856,13909,1.378093378,,,,
Cameroon,Sub-Saharan Africa,Fivemeter,288,24386,1.181005495,13909,1.378093378,,,,
Djibouti,Sub-Saharan Africa,Fivemeter,19,1487,1.277740417,13909,1.378093378,,,,
Equatorial Guinea,Sub-Saharan Africa,Fivemeter,2,960,0.208333333,13909,1.378093378,,,,
Ethiopia,Sub-Saharan Africa,Fivemeter,189,49241,0.383826486,13909,1.378093378,,,,
Gambia,Sub-Saharan Africa,Fivemeter,448,2567,17.45227892,13909,1.378093378,,,,
Gabon,Sub-Saharan Africa,Fivemeter,81,7385,1.096817874,13909,1.378093378,,,,
Ghana,Sub-Saharan Africa,Fivemeter,950,42213,2.250491555,13909,1.378093378,,,,
Guinea,Sub-Saharan Africa,Fivemeter,911,14174,6.427261182,13909,1.378093378,,,,
Ivory Coast,Sub-Saharan Africa,Fivemeter,772,24159,3.195496502,13909,1.378093378,,,,
Kenya,Sub-Saharan Africa,Fivemeter,135,29623,0.455726969,13909,1.378093378,,,,
Liberia,Sub-Saharan Africa,Fivemeter,60,3350,1.791044776,13909,1.378093378,,,,
Madagascar,Sub-Saharan Africa,Fivemeter,162,12577,1.288065516,13909,1.378093378,,,,
Mauritania,Sub-Saharan Africa,Fivemeter,1297,4972,26.08608206,13909,1.378093378,,,,
Mozambique,Sub-Saharan Africa,Fivemeter,1257,17660,7.117780294,13909,1.378093378,,,,
Nigeria,Sub-Saharan Africa,Fivemeter,3027,109412,2.766606954,13909,1.378093378,,,,
Guinea-Bissau,Sub-Saharan Africa,Fivemeter,160,1150,13.91304348,13909,1.378093378,,,,
South Africa,Sub-Saharan Africa,Fivemeter,889,470466,0.188961583,13909,1.378093378,,,,
Senegal,Sub-Saharan Africa,Fivemeter,1503,13848,10.85355286,13909,1.378093378,,,,
Sierra Leone,Sub-Saharan Africa,Fivemeter,50,2285,2.188183807,13909,1.378093378,,,,
Somalia,Sub-Saharan Africa,Fivemeter,17,4300,0.395348837,13909,1.378093378,,,,
Sudan,Sub-Saharan Africa,Fivemeter,97,62128,0.156129281,13909,1.378093378,,,,
Togo,Sub-Saharan Africa,Fivemeter,51,7493,0.68063526,13909,1.378093378,,,,
Sao Tome and Principe,Sub-Saharan Africa,Fivemeter,0,178,0,13909,1.378093378,,,,
Tanzania,Sub-Saharan Africa,Fivemeter,51,17035,0.299383622,13909,1.378093378,,,,
Namibia,Sub-Saharan Africa,Fivemeter,7,12417,0.056374326,13909,1.378093378,,,,
Myanmar (Burma),East Asia,Onemeter,613,63700,0.962323391,158428,2.090849846,,Onemeter,158428,2.090849846
Brunei,East Asia,Onemeter,0,5900,0,158428,2.090849846,,Twometer,255550,3.372615183
Cambodia,East Asia,Onemeter,223,21106,1.056571591,158428,2.090849846,,Threemeter,394129,5.201508313
China,East Asia,Onemeter,113390,4724163,2.40021354,158428,2.090849846,,Fourmeter,592657,7.821576977
Indonesia,East Asia,Onemeter,11558,613299,1.884562016,158428,2.090849846,,Fivemeter,773176,10.20397228
North Korea,East Asia,Onemeter,22,22000,0.1,158428,2.090849846,,,,
South Korea,East Asia,Onemeter,1468,691772,0.212208647,158428,2.090849846,,,,
Malaysia,East Asia,Onemeter,1165,211738,0.550208276,158428,2.090849846,,,,
Papua New Guinea,East Asia,Onemeter,8,13927,0.057442378,158428,2.090849846,,,,
Philippines,East Asia,Onemeter,1805,290338,0.621689204,158428,2.090849846,,,,
Thailand,East Asia,Onemeter,5372,378476,1.419376658,158428,2.090849846,,,,
Taiwan China,East Asia,Onemeter,6999,386000,1.813212435,158428,2.090849846,,,,
Vietnam,East Asia,Onemeter,15805,154787,10.21080582,158428,2.090849846,,,,
Myanmar (Burma),East Asia,Twometer,1257,63700,1.973312402,255550,3.372615183,,,,
Brunei,East Asia,Twometer,0,5900,0,255550,3.372615183,,,,
Cambodia,East Asia,Twometer,552,21106,2.615370037,255550,3.372615183,,,,
China,East Asia,Twometer,177883,4724163,3.765386588,255550,3.372615183,,,,
Indonesia,East Asia,Twometer,18776,613299,3.061475724,255550,3.372615183,,,,
North Korea,East Asia,Twometer,37,22000,0.168181818,255550,3.372615183,,,,
South Korea,East Asia,Twometer,2846,691772,0.411407227,255550,3.372615183,,,,
Malaysia,East Asia,Twometer,2534,211738,1.196762036,255550,3.372615183,,,,
Papua New Guinea,East Asia,Twometer,12,13927,0.086163567,255550,3.372615183,,,,
Philippines,East Asia,Twometer,4104,290338,1.413524926,255550,3.372615183,,,,
Thailand,East Asia,Twometer,10411,378476,2.750768873,255550,3.372615183,,,,
Taiwan China,East Asia,Twometer,11616,386000,3.009326425,255550,3.372615183,,,,
Vietnam,East Asia,Twometer,25522,154787,16.48846479,255550,3.372615183,,,,
Myanmar (Burma),East Asia,Threemeter,2529,63700,3.970172684,394129,5.201508313,,,,
Brunei,East Asia,Threemeter,0,5900,0,394129,5.201508313,,,,
Cambodia,East Asia,Threemeter,1045,21106,4.951198711,394129,5.201508313,,,,
China,East Asia,Threemeter,263878,4724163,5.585709045,394129,5.201508313,,,,
Indonesia,East Asia,Threemeter,30278,613299,4.936906794,394129,5.201508313,,,,
North Korea,East Asia,Threemeter,92,22000,0.418181818,394129,5.201508313,,,,
South Korea,East Asia,Threemeter,4130,691772,0.597017514,394129,5.201508313,,,,
Malaysia,East Asia,Threemeter,3716,211738,1.754999103,394129,5.201508313,,,,
Papua New Guinea,East Asia,Threemeter,16,13927,0.114884756,394129,5.201508313,,,,
Philippines,East Asia,Threemeter,6165,290338,2.123387225,394129,5.201508313,,,,
Thailand,East Asia,Threemeter,28230,378476,7.458861328,394129,5.201508313,,,,
Taiwan China,East Asia,Threemeter,16631,386000,4.308549223,394129,5.201508313,,,,
Vietnam,East Asia,Threemeter,37419,154787,24.17451078,394129,5.201508313,,,,
Myanmar (Burma),East Asia,Fourmeter,4562,63700,7.161695447,592657,7.821576977,,,,
Brunei,East Asia,Fourmeter,6,5900,0.101694915,592657,7.821576977,,,,
Cambodia,East Asia,Fourmeter,1627,21106,7.708708424,592657,7.821576977,,,,
China,East Asia,Fourmeter,389835,4724163,8.251937962,592657,7.821576977,,,,
Indonesia,East Asia,Fourmeter,43271,613299,7.0554493,592657,7.821576977,,,,
North Korea,East Asia,Fourmeter,175,22000,0.795454545,592657,7.821576977,,,,
South Korea,East Asia,Fourmeter,6198,691772,0.895959941,592657,7.821576977,,,,
Malaysia,East Asia,Fourmeter,7356,211738,3.47410479,592657,7.821576977,,,,
Papua New Guinea,East Asia,Fourmeter,29,13927,0.208228621,592657,7.821576977,,,,
Philippines,East Asia,Fourmeter,9845,290338,3.390875462,592657,7.821576977,,,,
Thailand,East Asia,Fourmeter,61179,378476,16.16456526,592657,7.821576977,,,,
Taiwan China,East Asia,Fourmeter,21065,386000,5.457253886,592657,7.821576977,,,,
Vietnam,East Asia,Fourmeter,47509,154787,30.69314607,592657,7.821576977,,,,
Myanmar (Burma),East Asia,Fivemeter,7542,63700,11.83987441,773176,10.20397228,,,,
Brunei,East Asia,Fivemeter,179,5900,3.033898305,773176,10.20397228,,,,
Cambodia,East Asia,Fivemeter,2378,21106,11.26693831,773176,10.20397228,,,,
China,East Asia,Fivemeter,510437,4724163,10.80481347,773176,10.20397228,,,,
Indonesia,East Asia,Fivemeter,49768,613299,8.114802079,773176,10.20397228,,,,
North Korea,East Asia,Fivemeter,679,22000,3.086363636,773176,10.20397228,,,,
South Korea,East Asia,Fivemeter,8803,691772,1.272529099,773176,10.20397228,,,,
Malaysia,East Asia,Fivemeter,11958,211738,5.647545552,773176,10.20397228,,,,
Papua New Guinea,East Asia,Fivemeter,49,13927,0.351834566,773176,10.20397228,,,,
Philippines,East Asia,Fivemeter,12155,290338,4.186499873,773176,10.20397228,,,,
Thailand,East Asia,Fivemeter,85669,378476,22.63525296,773176,10.20397228,,,,
Taiwan China,East Asia,Fivemeter,27524,386000,7.130569948,773176,10.20397228,,,,
Vietnam,East Asia,Fivemeter,56035,154787,36.20136058,773176,10.20397228,,,,
Bangladesh,South Asia,Onemeter,1896,202087,0.938209781,18653,0.566002755,,Twometer,31761,0.963749182
Sri Lanka,South Asia,Onemeter,284,62726,0.45276281,18653,0.566002755,,Threemeter,53073,1.61043608
India,South Asia,Onemeter,16223,2772730,0.585091228,18653,0.566002755,,Fourmeter,74865,2.271687998
Pakistan,South Asia,Onemeter,250,258024,0.096890212,18653,0.566002755,,Fivemeter,98920,3.001607918
Bangladesh,South Asia,Twometer,3387,202087,1.676010827,31761,0.963749182,,,,
Sri Lanka,South Asia,Twometer,503,62726,0.801900328,31761,0.963749182,,,,
India,South Asia,Twometer,27414,2772730,0.988700667,31761,0.963749182,,,,
Pakistan,South Asia,Twometer,457,258024,0.177115307,31761,0.963749182,,,,
Bangladesh,South Asia,Threemeter,7768,202087,3.843889018,53073,1.61043608,,,,
Sri Lanka,South Asia,Threemeter,987,62726,1.573510187,53073,1.61043608,,,,
India,South Asia,Threemeter,43473,2772730,1.567877146,53073,1.61043608,,,,
Pakistan,South Asia,Threemeter,845,258024,0.327488916,53073,1.61043608,,,,
Bangladesh,South Asia,Fourmeter,14458,202087,7.154344416,74865,2.271687998,,,,
Sri Lanka,South Asia,Fourmeter,1728,62726,2.754838504,74865,2.271687998,,,,
India,South Asia,Fourmeter,57483,2772730,2.073155338,74865,2.271687998,,,,
Pakistan,South Asia,Fourmeter,1196,258024,0.463522773,74865,2.271687998,,,,
Bangladesh,South Asia,Fivemeter,22790,202087,11.27732115,98920,3.001607918,,,,
Sri Lanka,South Asia,Fivemeter,2343,62726,3.73529318,98920,3.001607918,,,,
India,South Asia,Fivemeter,72263,2772730,2.606203994,98920,3.001607918,,,,
Pakistan,South Asia,Fivemeter,1524,258024,0.590642731,98920,3.001607918,,,,
