Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion,,,,
Mexico,Latin America / Caribbean,Threemeter,10813,839150,1.288565811,49569,1.358154889,,,,
Suriname,Latin America / Caribbean,Threemeter,294,1480,19.86486486,49569,1.358154889,,,,
Nicaragua,Latin America / Caribbean,Threemeter,63,13100,0.480916031,49569,1.358154889,,,,
Peru,Latin America / Caribbean,Threemeter,1240,120087,1.032584709,49569,1.358154889,,,,
Panama,Latin America / Caribbean,Threemeter,285,16653,1.711403351,49569,1.358154889,,,,
Puerto Rico,Latin America / Caribbean,Threemeter,5522,96388,5.728928912,49569,1.358154889,,,,
Uruguay,Latin America / Caribbean,Threemeter,924,28887,3.198670682,49569,1.358154889,,,,
Venezuela,Latin America / Caribbean,Threemeter,2027,134865,1.502984466,49569,1.358154889,,,,
Argentina,Latin America / Caribbean,Fourmeter,8090,439897,1.839066872,67575,1.851506316,,,,
Bahamas,Latin America / Caribbean,Fourmeter,927,4962,18.68198307,67575,1.851506316,,,,
Belize,Latin America / Caribbean,Fourmeter,104,1312,7.926829268,67575,1.851506316,,,,
Brazil,Latin America / Caribbean,Fourmeter,21623,1233633,1.752790336,67575,1.851506316,,,,
Chile,Latin America / Caribbean,Fourmeter,301,135982,0.221352826,67575,1.851506316,,,,
Colombia,Latin America / Caribbean,Fourmeter,3103,296427,1.04680073,67575,1.851506316,,,,
Costa Rica,Latin America / Caribbean,Fourmeter,149,38381,0.388212918,67575,1.851506316,,,,
Cuba,Latin America / Caribbean,Fourmeter,999,19200,5.203125,67575,1.851506316,,,,
Dominican Republic,Latin America / Caribbean,Fourmeter,728,57877,1.257839902,67575,1.851506316,,,,
Ecuador,Latin America / Caribbean,Fourmeter,2241,40046,5.596064526,67575,1.851506316,,,,
El Salvador,Latin America / Caribbean,Fourmeter,248,32878,0.75430379,67575,1.851506316,,,,
French Guiana,Latin America / Caribbean,Fourmeter,296,1951,15.17170682,67575,1.851506316,,,,
Guatemala,Latin America / Caribbean,Fourmeter,47,50422,0.09321328,67575,1.851506316,,,,
Guyana,Latin America / Caribbean,Fourmeter,702,3469,20.23637936,67575,1.851506316,,,,
Haiti,Latin America / Caribbean,Fourmeter,139,15299,0.908556115,67575,1.851506316,,,,
Honduras,Latin America / Caribbean,Fourmeter,143,18159,0.787488298,67575,1.851506316,,,,
Jamaica,Latin America / Caribbean,Fourmeter,152,9226,1.647517884,67575,1.851506316,,,,
Mexico,Latin America / Caribbean,Fourmeter,14222,839150,1.694810225,67575,1.851506316,,,,
Suriname,Latin America / Caribbean,Fourmeter,337,1480,22.77027027,67575,1.851506316,,,,
Nicaragua,Latin America / Caribbean,Fourmeter,93,13100,0.709923664,67575,1.851506316,,,,
Peru,Latin America / Caribbean,Fourmeter,1597,120087,1.329869178,67575,1.851506316,,,,
Panama,Latin America / Caribbean,Fourmeter,361,16653,2.167777578,67575,1.851506316,,,,
Puerto Rico,Latin America / Caribbean,Fourmeter,7492,96388,7.772751795,67575,1.851506316,,,,
Uruguay,Latin America / Caribbean,Fourmeter,957,28887,3.312908921,67575,1.851506316,,,,
Venezuela,Latin America / Caribbean,Fourmeter,2524,134865,1.871501131,67575,1.851506316,,,,
Argentina,Latin America / Caribbean,Fivemeter,10036,439897,2.281443156,87061,2.385408678,,,,
Bahamas,Latin America / Caribbean,Fivemeter,1406,4962,28.33534865,87061,2.385408678,,,,
Belize,Latin America / Caribbean,Fivemeter,131,1312,9.984756098,87061,2.385408678,,,,
Brazil,Latin America / Caribbean,Fivemeter,30176,1233633,2.446108364,87061,2.385408678,,,,
Chile,Latin America / Caribbean,Fivemeter,301,135982,0.221352826,87061,2.385408678,,,,
Colombia,Latin America / Caribbean,Fivemeter,3602,296427,1.215138972,87061,2.385408678,,,,
Costa Rica,Latin America / Caribbean,Fivemeter,217,38381,0.565383914,87061,2.385408678,,,,
Cuba,Latin America / Caribbean,Fivemeter,1236,19200,6.4375,87061,2.385408678,,,,
Dominican Republic,Latin America / Caribbean,Fivemeter,822,57877,1.420253296,87061,2.385408678,,,,
Ecuador,Latin America / Caribbean,Fivemeter,2798,40046,6.98696499,87061,2.385408678,,,,
El Salvador,Latin America / Caribbean,Fivemeter,323,32878,0.982419855,87061,2.385408678,,,,
French Guiana,Latin America / Caribbean,Fivemeter,298,1951,15.27421835,87061,2.385408678,,,,
Guatemala,Latin America / Caribbean,Fivemeter,94,50422,0.18642656,87061,2.385408678,,,,
Guyana,Latin America / Caribbean,Fivemeter,789,3469,22.74430672,87061,2.385408678,,,,
Haiti,Latin America / Caribbean,Fivemeter,178,15299,1.163474737,87061,2.385408678,,,,
Honduras,Latin America / Caribbean,Fivemeter,228,18159,1.255575748,87061,2.385408678,,,,
Jamaica,Latin America / Caribbean,Fivemeter,220,9226,2.384565359,87061,2.385408678,,,,
Mexico,Latin America / Caribbean,Fivemeter,18605,839150,2.217124471,87061,2.385408678,,,,
Suriname,Latin America / Caribbean,Fivemeter,509,1480,34.39189189,87061,2.385408678,,,,
Nicaragua,Latin America / Caribbean,Fivemeter,123,13100,0.938931298,87061,2.385408678,,,,
Peru,Latin America / Caribbean,Fivemeter,1631,120087,1.358181985,87061,2.385408678,,,,
Panama,Latin America / Caribbean,Fivemeter,436,16653,2.61814688,87061,2.385408678,,,,
Puerto Rico,Latin America / Caribbean,Fivemeter,8921,96388,9.25530149,87061,2.385408678,,,,
Uruguay,Latin America / Caribbean,Fivemeter,1017,28887,3.520614809,87061,2.385408678,,,,
Venezuela,Latin America / Caribbean,Fivemeter,2964,134865,2.197753309,87061,2.385408678,,,,
Algeria,Middle East / North Africa,Onemeter,976,186902,0.522198799,21211,1.510249418,,,,
