Country,Population,SeaLevelRiseScenarios,ImpactedPopulation
Namibia,1757000,Twometer,4034
Djibouti,632000,Twometer,34137
Myanmar (Burma),47749000,Twometer,1083044
Brunei,328000,Twometer,1626
Cambodia,13104000,Twometer,277645
China,1275133000,Twometer,34965603
Indonesia,212092000,Twometer,5103216
North Korea,22268000,Twometer,163803
South Korea,46740000,Twometer,355878
Malaysia,22218000,Twometer,249682
Papua New Guinea,4809000,Twometer,7047
Philippines,75653000,Twometer,1437272
Thailand,62806000,Twometer,1516607
Taiwan China,22370000,Twometer,986225
Vietnam,78137000,Twometer,14036213
Bangladesh,137439000,Twometer,2753213
Sri Lanka,18924000,Twometer,227632
India,1008937000,Twometer,7447115
Pakistan,141256000,Twometer,502815
Argentina,37032000,Threemeter,664630
Bahamas,304000,Threemeter,32069
Belize,226000,Threemeter,23050
Brazil,170406000,Threemeter,2692247
Chile,15211000,Threemeter,59526
Colombia,42105000,Threemeter,385963
Costa Rica,4024000,Threemeter,14387
Cuba,11199000,Threemeter,181608
Dominican Republic,8373000,Threemeter,91215
Ecuador,12646000,Threemeter,327299
El Salvador,6278000,Threemeter,23550
French Guiana,165000,Threemeter,11796
Guatemala,11385000,Threemeter,12823
Guyana,761000,Threemeter,195477
Haiti,8142000,Threemeter,51304
Honduras,6417000,Threemeter,27201
Jamaica,2576000,Threemeter,55226
Mexico,98872000,Threemeter,1310478
Suriname,417000,Threemeter,127999
Nicaragua,5071000,Threemeter,21869
Peru,25662000,Threemeter,97625
Panama,2856000,Threemeter,40422
Puerto Rico,3915000,Threemeter,223204
Uruguay,3337000,Threemeter,140009
Venezuela,24170000,Threemeter,453557
Algeria,30291000,Threemeter,290705
Egypt,67884000,Threemeter,10110653
Iran,70330000,Threemeter,572686
Kuwait,1914000,Threemeter,22516
Libya,5290000,Threemeter,250110
Morocco,29634000,Threemeter,550148
Oman,2538000,Threemeter,62398
Qatar,565000,Threemeter,25107
Saudi Arabia,20346000,Threemeter,841248
United Arab Emirates,2606000,Threemeter,211191
Tunisia,9459000,Threemeter,663122
Western Sahara,190000,Threemeter,760
Yemen,18349000,Threemeter,167523
Angola,13134000,Threemeter,66443
Benin,6272000,Threemeter,436542
"Congo, Rep.",3018000,Threemeter,10075
"Congo, Dem. Rep.",50948000,Threemeter,28118
Cameroon,14876000,Threemeter,46319
Equatorial Guinea,457000,Threemeter,2156
Ethiopia,62908000,Threemeter,241515
"Gambia, The",1303000,Threemeter,182072
Gabon,1230000,Threemeter,19660
Ghana,19306000,Threemeter,317701
Guinea,8154000,Threemeter,281683
Ivory Coast,16013000,Threemeter,312107
Kenya,30669000,Threemeter,35311
Liberia,2913000,Threemeter,158594
Madagascar,15970000,Threemeter,183006
Mauritania,2665000,Threemeter,426017
Mozambique,18292000,Threemeter,369914
Nigeria,113862000,Threemeter,165525
Guinea-Bissau,1199000,Threemeter,53520
South Africa,43309000,Threemeter,59906
Senegal,9421000,Threemeter,662398
Sierra Leone,4405000,Threemeter,90919
Somalia,8778000,Threemeter,90418
Sudan,31095000,Threemeter,75670
Togo,4527000,Threemeter,94655
Sao Tome and Principe,138000,Threemeter,138
"Tanzania, United Republic of",35119000,Threemeter,95602
Namibia,1757000,Threemeter,10757
Djibouti,632000,Threemeter,51409
Myanmar (Burma),47749000,Threemeter,2213080
Brunei,328000,Threemeter,2344
Cambodia,13104000,Threemeter,519612
China,1275133000,Threemeter,50732742
Indonesia,212092000,Threemeter,8348630
North Korea,22268000,Threemeter,343249
South Korea,46740000,Threemeter,590494
Malaysia,22218000,Threemeter,538892
Papua New Guinea,4809000,Threemeter,9859
Philippines,75653000,Threemeter,2300469
Thailand,62806000,Threemeter,3074655
Taiwan China,22370000,Threemeter,1362055
Vietnam,78137000,Threemeter,20003408
Bangladesh,137439000,Threemeter,5407944
Sri Lanka,18924000,Threemeter,429293
India,1008937000,Threemeter,12318026
Pakistan,141256000,Threemeter,749875
Argentina,37032000,Fourmeter,944211
Bahamas,304000,Fourmeter,54722
Belize,226000,Fourmeter,33676
Brazil,170406000,Fourmeter,3969403
Chile,15211000,Fourmeter,71714
Colombia,42105000,Fourmeter,522346
Costa Rica,4024000,Fourmeter,23440
Cuba,11199000,Fourmeter,294205
Dominican Republic,8373000,Fourmeter,133827
Ecuador,12646000,Fourmeter,483380
El Salvador,6278000,Fourmeter,36612
French Guiana,165000,Fourmeter,16764
Guatemala,11385000,Fourmeter,21690
Guyana,761000,Fourmeter,267845
Haiti,8142000,Fourmeter,79873
Honduras,6417000,Fourmeter,42062
Jamaica,2576000,Fourmeter,81046
Mexico,98872000,Fourmeter,1746646
Suriname,417000,Fourmeter,185124
Nicaragua,5071000,Fourmeter,37728
Peru,25662000,Fourmeter,125481
Panama,2856000,Fourmeter,66661
Puerto Rico,3915000,Fourmeter,283106
Uruguay,3337000,Fourmeter,173805
Venezuela,24170000,Fourmeter,596423
Algeria,30291000,Fourmeter,371685
Egypt,67884000,Fourmeter,12017374
Iran,70330000,Fourmeter,722502
Kuwait,1914000,Fourmeter,27600
Libya,5290000,Fourmeter,290829
Morocco,29634000,Fourmeter,663212
Oman,2538000,Fourmeter,85497
Qatar,565000,Fourmeter,41576
Saudi Arabia,20346000,Fourmeter,1102031
United Arab Emirates,2606000,Fourmeter,255431
Tunisia,9459000,Fourmeter,772427
Western Sahara,190000,Fourmeter,945
Yemen,18349000,Fourmeter,203497
Angola,13134000,Fourmeter,106994
Benin,6272000,Fourmeter,610604
"Congo, Rep.",3018000,Fourmeter,12852
"Congo, Dem. Rep.",50948000,Fourmeter,32602
Cameroon,14876000,Fourmeter,74839
Equatorial Guinea,457000,Fourmeter,3429
Ethiopia,62908000,Fourmeter,247583
"Gambia, The",1303000,Fourmeter,244131
Gabon,1230000,Fourmeter,39054
Ghana,19306000,Fourmeter,404992
Guinea,8154000,Fourmeter,365981
Ivory Coast,16013000,Fourmeter,396557
Kenya,30669000,Fourmeter,47468
Liberia,2913000,Fourmeter,289158
Madagascar,15970000,Fourmeter,263855
Mauritania,2665000,Fourmeter,494341
Mozambique,18292000,Fourmeter,690947
Nigeria,113862000,Fourmeter,2527719
Guinea-Bissau,1199000,Fourmeter,109778
South Africa,43309000,Fourmeter,68707
Senegal,9421000,Fourmeter,914822
Sierra Leone,4405000,Fourmeter,129079
Somalia,8778000,Fourmeter,129101
Sudan,31095000,Fourmeter,129216
Togo,4527000,Fourmeter,144835
Sao Tome and Principe,138000,Fourmeter,1396
"Tanzania, United Republic of",35119000,Fourmeter,146283
Namibia,1757000,Fourmeter,29359
Djibouti,632000,Fourmeter,86482
Myanmar (Burma),47749000,Fourmeter,3964937
Brunei,328000,Fourmeter,4310
Cambodia,13104000,Fourmeter,845556
China,1275133000,Fourmeter,69240818
Indonesia,212092000,Fourmeter,12459289
North Korea,22268000,Fourmeter,601995
South Korea,46740000,Fourmeter,886687
Malaysia,22218000,Fourmeter,934249
Papua New Guinea,4809000,Fourmeter,13799
Philippines,75653000,Fourmeter,4821392
Thailand,62806000,Fourmeter,5297225
Taiwan China,22370000,Fourmeter,1798884
Vietnam,78137000,Fourmeter,25389856
