locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GRANTVILLE,260000,235000,245000,215000,255000,250000,272500,339500,402500,397500,440000,500000
GREEN LAKE,230000,247500,250000,262500,254500,281500,305000,280000,270000,290000,360000,354000
GREENSBOROUGH,530000,519000,491000,534000,574000,635000,717000,830000,815000,798000,850000,870500
GREENVALE,517500,545000,537000,550000,539500,500000,510000,650000,720000,715000,718500,748500
GROVEDALE,335000,345000,340000,352000,362000,370000,400000,432000,495000,505000,550000,590500
HADFIELD,530000,486000,430000,461500,500000,550000,624500,740500,741500,730000,745000,782500
HALLAM,365000,360000,360000,362500,380000,424000,458500,580000,630000,550000,600000,665000
HALLS GAP,257500,255000,233500,184500,224500,245000,272500,280000,355000,320000,350000,437000
HAMILTON,203500,217500,189000,192500,200000,200000,217000,190000,225000,209500,252500,318500
HAMLYN HEIGHTS,345000,348000,339500,363500,366500,382500,415000,500000,545000,540000,561000,662500
HAMPTON,1295000,1282500,1200000,1270000,1340000,1650000,1800000,2022500,1905000,1900000,2000000,2225000
HAMPTON EAST,813000,747500,732500,770000,862500,1020000,1200000,1340000,1230000,1211500,1290500,1395000
HAMPTON PARK,333000,335000,320000,330000,337500,370000,410000,505000,550000,502000,539000,598000
HARCOURT,350000,268000,287500,309000,358000,295000,377500,385000,375000,420000,527500,465000
HARKNESS,310000,336500,329000,330000,340000,350000,360000,419500,485000,475000,490000,514500
HASTINGS,355000,350000,347000,345000,368000,365000,400000,507500,519500,506000,562000,606000
HASTINGS WEST,265000,272000,282500,280000,277000,289500,338000,425000,480000,430000,487500,475000
HAWTHORN,1430000,1330000,1405000,1575000,1606500,1916500,2245000,2650000,2506500,2200000,2492500,2750000
HAWTHORN EAST,1400000,1250500,1300000,1247500,1554000,1850000,1890000,2350000,2221500,2137500,2297500,2135500
HEALESVILLE,361500,380000,380000,385500,400000,447500,457000,550000,601000,580000,600000,655000
HEATHCOTE,217000,200000,220000,227500,260000,240000,268500,275000,310000,335000,372500,375000
HEATHERTON,625000,632000,630000,630000,712000,771000,845000,981000,935000,965000,973000,1065500
HEATHMONT,539500,509000,525000,589000,638000,760000,789000,925000,932000,871000,930000,1035500
HEIDELBERG,815000,770000,750000,772500,840500,1060000,1150000,1280000,1114000,1107500,1300000,1220000
HEIDELBERG HEIGHTS,560000,537500,500000,536500,564500,676500,750000,846000,820000,780000,800000,939500
HEIDELBERG WEST,475000,420000,400000,425500,461000,580000,630000,730500,700000,671500,713000,700000
HEPBURN,317000,310000,275000,291000,330000,395000,375000,440000,425000,452500,535000,610000
HEPBURN SPRINGS,298000,308000,310000,340000,350000,380000,414000,515000,490000,595000,570000,670000
HERNE HILL,321000,325000,321000,350000,357000,368500,402000,490000,550000,534000,600000,650000
HEYFIELD,155000,175000,171500,200000,180000,182500,195000,178500,206500,195000,230000,285000
HEYWOOD,172000,167500,153000,142000,150000,173000,160000,164000,166000,178000,185000,236000
HIGHETT,760000,711000,682500,750000,850000,992500,1175000,1318500,1275000,1234000,1312500,1303500
HIGHTON,437000,450000,460000,477500,510000,505000,555000,622500,681000,690000,742500,842500
HILLSIDE (MELTON),420000,415000,425000,430000,440000,470000,525500,620000,645000,642000,680000,695000
HOPETOUN,63000,55500,81000,88000,95500,75000,80000,92000,86000,66000,150000,144500
HOPPERS CROSSING,327500,328000,312500,321500,340000,365500,415000,516000,552000,526500,550000,545000
HORSHAM,187000,210000,220000,215000,215000,240000,245000,262500,255000,269000,260000,329500
HUGHESDALE,838000,740000,741500,820000,856000,1165000,1222500,1407000,1260000,1150500,1250000,1320000
HUNTINGDALE,642500,610000,590000,659000,728000,835000,924500,1132000,1010000,914000,1067500,1286000
HUNTLY,269500,250000,215000,337500,325000,355000,340000,335000,357500,367500,388000,460000
HURSTBRIDGE,491000,457500,445000,482000,482000,547500,614500,714000,731000,700000,775000,875000
INDENTED HEAD,360000,347000,430000,390000,385000,382500,395000,455000,575500,606000,590000,665000
INGLEWOOD,170000,208500,186500,160000,145000,200000,152500,182500,180000,185000,212000,317500
INVERLOCH,422500,450000,420000,431000,440000,425000,442500,495000,598000,590000,665000,805000
INVERMAY PARK,337500,363500,370000,378000,387000,405000,377500,391000,465000,475000,485000,667500
IRONBARK,232000,287000,280000,277000,280000,292500,365000,280000,320000,304000,438500,468000
IRYMPLE,213500,228000,215000,248000,228500,268000,255000,291000,310000,386500,352000,423500
IVANHOE,1032500,980000,907500,1100000,1203000,1125000,1400000,1515000,1600000,1580000,1630000,1665000
IVANHOE EAST,1415000,1300000,1200000,1310000,1513000,1542500,1764500,1975000,1914000,1775000,2055000,2502500
JACANA,391000,345000,310500,334000,342500,375000,423000,571500,555000,512500,555000,570000
JACKASS FLAT,275000,255000,357500,287500,360000,350500,345500,299000,310000,331500,401000,441000
JAN JUC,542500,587500,570000,555000,595000,615000,716000,850000,905000,870000,961000,1465000
JEERALANG NORTH,152000,129000,159500,145500,187500,175000,140000,248000,170000,235000,241000,262000
JEPARIT,66000,101500,59000,80500,63000,89000,124000,66500,77000,81000,110000,105000
JUNCTION VILLAGE,314500,287500,300000,312000,320000,370000,389000,436000,509000,483500,515000,625000
JUNORTOUN,420000,425000,465000,490000,508500,417500,490000,512500,506500,530000,599000,655000
KALIMNA,265000,312500,268000,230000,285000,300000,270000,276500,326500,292500,350000,330000
KALKALLO,215000,375000,272500,450000,450000,180000,432500,529500,548000,538000,555000,590000
KALLISTA,450000,482000,452500,425000,465000,523000,567500,676000,737500,700000,707500,785000
KALORAMA,440000,440000,420000,442500,451000,496000,533000,670000,686500,645000,697500,851500
KANGAROO FLAT,252000,270000,284500,292500,300000,303000,300000,310000,325000,340000,380000,381500
KANGAROO GROUND SOUTH,679500,606500,631000,615000,655000,650000,670000,853500,930000,815500,970000,1066500
KANIVA,94000,90000,87000,75000,87500,100000,120000,157500,164000,169500,115000,168000
KEALBA,385500,372500,375000,370000,390000,400000,470000,595000,612000,596000,600000,640000
KEILOR,603000,570000,592500,572500,633000,703000,805000,845000,815000,836500,880000,790000
KEILOR DOWNS,423000,405000,400000,403500,429000,496500,562000,670000,666000,630000,662000,731500
KEILOR EAST,580000,587500,527500,560000,599000,651000,720000,843000,830000,835000,841000,908500
KEILOR LODGE,460000,520000,480000,490000,500000,555500,607500,760000,715000,740000,757500,838000
KEILOR PARK,514500,501000,480000,455000,512500,565000,650000,741000,770000,704000,735000,809000
KENNINGTON,295000,306000,300000,351500,345000,334000,355000,372000,383500,373500,426500,490000
KENSINGTON,675500,650000,650000,690000,730000,822000,908000,1019000,1020000,978000,1103500,990000
KERANG,147500,150000,150000,152000,145000,152000,167000,160000,177000,170000,197000,235000
KEW,1650000,1650000,1500000,1751000,1950000,2080000,2207500,2320000,2380000,2345000,2210000,2819500
KEW EAST,1085000,1056000,1005000,1210000,1314000,1600000,1655000,1876000,1800000,1837000,1785000,1770000
KEW NORTH,1174000,1071000,995500,1260000,1301000,1665000,1805000,1880000,1767500,1833000,1805000,2136000
KEYSBOROUGH,417500,430000,425000,435000,456500,559500,650000,730000,756000,740000,765500,815000
KIALLA,335000,360000,318500,360000,365000,367500,374000,390000,418000,450000,473500,502500
KILCUNDA,350000,330000,350000,375000,320000,400000,480000,504000,496000,533000,670000,677000
KILLARA (WODONGA),,,116500,351000,346000,360000,425000,400000,420000,453500,447500,469000
KILMORE,327500,325000,312000,327500,319000,336500,333000,387500,440000,435000,475000,513500
KILSYTH,432500,430000,415000,435000,460000,548500,620000,699000,685500,645000,680000,700000
KILSYTH SOUTH,515500,520000,501000,542500,575000,676000,738000,845000,826000,780500,865000,880000
KINGLAKE,280000,306500,310000,330000,318000,340000,346000,458000,480000,555000,600000,650000
KINGS PARK,340000,330000,324000,315000,325000,355000,415000,532500,550000,510000,550000,570500
KINGSBURY,519000,475000,437500,470000,502500,560000,610000,731000,730000,660000,732500,790000
KINGSVILLE,630000,599500,597500,635000,703500,785000,925000,1020000,990000,1010000,988500,1177500
KNOXFIELD,471000,480000,465000,500000,580000,681000,740000,870000,815000,760000,810000,884500
KOO WEE RUP,297000,334500,320000,315000,335000,345000,400000,450000,508500,550000,535000,599000
KOONDROOK,239500,150000,165000,147500,155000,198500,165000,247500,268000,212500,234500,277500
KOOYONG,2150500,1510500,1820000,1417500,2900000,3400000,2762500,3950000,2630000,3585000,3625000,
KOROIT,236000,266000,290000,275000,300000,296000,294000,325000,349000,345000,395000,625000
KORUMBURRA,234000,237500,240000,236000,222500,262500,257500,292000,317500,319500,379000,485000
KURUNJANG,288000,300000,281000,287000,280000,289500,310000,370000,435000,420000,431000,440000
KYABRAM,209500,200000,217500,237000,235000,240000,234000,239000,261000,263000,280000,290000
KYNETON,330000,370000,370000,369000,400000,425500,455000,495000,550000,595000,614000,655000
LAKE BOGA,187000,212500,200000,200000,143500,245000,222500,182500,232500,239000,230000,222500
LAKE GARDENS,387000,400500,385000,445000,445000,461000,485000,461500,575000,552500,624000,635000
LAKE TYERS BEACH,286000,285000,274000,270000,354000,330000,268500,362500,300000,357500,375000,479000
LAKE WENDOUREE,550000,627500,545000,634000,650000,685000,700000,790000,775000,850000,1000000,860000
LAKES ENTRANCE,256500,300000,251500,269500,254000,255500,280000,281500,328000,300000,350000,380000
LALOR,387000,380000,360500,365000,385000,445000,499500,625500,623500,590000,623500,670000
LANCEFIELD,281000,321000,315000,377500,362000,360000,360000,415000,456000,500000,540000,562500
LANG LANG,260000,310000,277500,285000,295000,316500,355000,390000,475000,495000,540000,555000
LANGWARRIN,395000,387500,375000,385000,420000,450000,503000,600000,642500,617000,660000,697500
LARA,325000,327500,335000,350000,340000,348000,355000,430000,515000,495000,535000,698500
LARA LAKE,340000,355000,355000,363500,398000,375000,395000,450500,525000,535500,575000,600000
LAUNCHING PLACE,355000,343500,340000,330000,337500,366000,435000,490000,531000,554000,572500,694000
LAVERTON,352000,340000,320000,325000,358000,377500,429000,535000,579000,529000,560000,575000
LAVERTON SOUTH,410000,400000,390500,391500,422500,450000,528500,610500,646000,622500,647500,674000
LEITCHVILLE,112500,67500,145000,98000,67500,100000,126500,100000,109500,106000,123500,197500
LENEVA,394000,362000,382000,361500,372500,370500,376000,397500,387500,426000,477500,552500
LEONGATHA,285000,282500,289000,300000,295500,305000,305000,320000,360000,368500,420000,457500
LEOPOLD,346000,340000,350000,360000,366500,365000,407000,447000,500500,510000,535000,568500
LILYDALE,438500,456000,420000,469000,480000,534000,633500,710500,706500,676000,720000,820000
LINTON,152500,168500,187500,163500,208000,152000,202500,255000,236500,256500,337500,
LISMORE,110000,145000,132500,110000,109000,115000,141500,155000,132500,144500,220000,180000
LOCH SPORT,170000,165000,165000,166000,153500,145000,178000,182000,230000,244000,247000,300500
LONG GULLY,210000,220000,220000,230000,255000,244000,240000,256000,269000,280000,299500,344000
LONGWARRY,262500,275000,286500,289500,297500,307000,334000,377000,403000,406000,427500,480500
LORNE,800000,840000,800000,840000,815000,895000,765000,1150000,1275000,1295000,1460000,1650000
LOVELY BANKS,365000,385500,402000,360500,406500,388500,470000,460000,525000,570000,563500,630000
LOWER PLENTY,650000,587500,615000,680500,675000,770000,900000,980000,1055000,950000,905000,961000
LUCAS,,,292500,348000,355000,389000,345000,349500,395000,431000,465000,540000
LUCKNOW,234000,247500,200000,235000,229000,230000,244500,261500,280000,275000,314500,302500
LYNBROOK,412000,424500,415000,430000,460000,500000,542500,595000,640000,623000,660000,680000
LYNDHURST,435000,440500,450000,465000,482500,550000,585000,625000,695000,665500,701500,810000
LYSTERFIELD,640000,642500,643500,681500,670000,780000,857500,995500,976500,956500,1009500,839500
MACEDON,473000,434500,525000,490000,460000,532500,585000,696000,815000,800000,883000,907500
MACLEOD,645000,600000,555000,647500,705000,755000,868000,950000,922500,922500,970000,1125000
MADDINGLEY,292500,300000,308000,316500,320000,332500,346000,395000,442000,460000,520000,555000
MAFFRA,230500,230000,235000,229000,215000,230000,258000,251500,261500,255000,315000,320000
MAIDEN GULLY,385000,408500,422500,440000,415000,430000,477000,471000,495500,514000,585000,582500
MAIDSTONE,563500,540000,499000,535000,587500,630000,695000,825000,798500,790000,780000,791000
MALDON,280000,267500,272500,315000,325000,339000,395000,426500,420000,510000,545000,546500
MALLACOOTA,300000,263000,267500,285000,285000,288500,322500,345000,280000,406500,407500,510000
MALMSBURY,314000,300000,332500,292500,317500,397500,344000,447000,462000,475000,470000,695000
MALVERN,1741500,1542500,1550000,1508500,1946000,2230000,2328500,2750000,2661000,2570000,2748000,2317500
MALVERN EAST,1188000,1120000,1039000,1200000,1380000,1610000,1729000,1824000,1900000,1789000,1865000,1795000
MANIFOLD HEIGHTS,401000,449000,425000,532500,489000,489500,620000,721500,785500,715000,815000,820000
MANOR LAKES,348500,360000,345000,340500,360000,385000,417500,490000,526000,533000,570000,570500
MANSFIELD,280000,301500,315000,364000,347000,367500,359000,385000,430000,450000,510000,555000
MARIBYRNONG,705000,645000,646000,714000,750500,837500,940000,1056000,1028500,961500,935000,1030000
MARONG,257500,285000,312500,310000,345000,364000,330000,348000,365000,420000,465000,395000
MARSHALL,367500,322500,365000,360000,382500,377000,400000,430000,468000,486500,510000,535000
MARYBOROUGH,160000,180000,184000,194000,200000,192500,206500,194000,229500,236000,267000,315000
MARYSVILLE,340000,395500,145000,180000,125000,320000,332500,383000,477500,462500,465000,670000
MCCRAE,560000,623000,555000,530000,535000,597500,689000,775000,847500,795000,952500,1142500
MCKENZIE HILL,350000,394000,465000,397000,140000,429500,475000,471500,495000,536500,544500,625000
MCKINNON,970000,925000,944000,1025000,1220000,1500000,1657500,1720000,1555000,1516000,1680000,1740500
MCLOUGHLINS BEACH,149000,152500,151500,145500,169500,145000,180000,110000,191000,210000,205000,215000
MEADOW HEIGHTS,345000,321500,315000,317000,322500,350500,370000,451000,510000,474000,499000,540500
MEENIYAN,180000,230000,216500,199000,223500,242500,270000,244500,292500,424500,349500,
MELTON,250000,256000,250000,245000,240000,255000,280500,368500,415000,385000,390000,410000
MELTON SOUTH,248500,247000,230000,230000,238000,260000,276000,377000,417000,390000,425000,435000
MELTON WEST,285000,300000,283000,285500,290000,295000,330000,409000,453000,428000,470000,487500
MENTONE,680000,692500,665000,705000,810000,950000,982500,1097500,1080000,1031000,1051000,974500
MERBEIN,161000,157000,142500,140500,167000,180000,170000,183500,180000,210000,200000,205000
MERINDA PARK,300000,307500,285000,310000,310000,345000,385000,471500,523000,476000,527500,562500
MERNDA,390000,397000,374500,375000,370000,410000,430000,525500,573500,552000,570500,612000
MERRIJIG (MANSFIELD),287500,342500,272500,332500,390000,292500,344000,420000,461000,422500,619000,
METUNG,302000,267500,350000,337500,287500,299000,360000,347500,371500,440000,450000,407500
MICKLEHAM,,,,213000,168000,385000,437000,500000,520000,525000,569000,595000
MIDDLE PARK,1512500,1345000,1420500,1587500,2125000,2317000,2238500,2370000,2685000,2775000,2652500,3675000
MILDURA,220000,222000,225000,225500,245000,252000,260000,264000,281500,310000,336000,350000
MILL PARK,420000,410000,405000,408000,430500,480000,560000,668500,657000,653000,690000,717500
MILLGROVE,234000,235000,235000,245000,260000,275000,293500,343000,411000,415000,425000,479000
MINERS REST,320000,339000,325000,330000,327500,335000,334000,370000,400000,427500,440000,441500
MINYIP,85000,82500,81000,73500,95000,93000,82500,94000,81000,114500,75000,95000
MIRBOO NORTH,244000,257000,252000,265000,250000,262000,275000,264000,307500,327500,375000,408000
MITCHAM,635000,595000,584500,650000,730000,885500,941000,1070000,1000000,942000,1065000,1205000
MITCHELL PARK,257000,247500,270000,267000,267500,260000,259000,263000,304500,313000,330000,355000
MOE,150000,165000,165000,155000,170000,162500,173000,175000,200000,210000,250000,277000
MONBULK,420000,392500,380000,395000,425000,471500,521500,608000,650000,630000,650000,775500
MONT ALBERT,1310000,1310000,1177500,1316000,1490000,1863000,1921000,2100000,1990000,1690000,2200000,1988000
MONT ALBERT NORTH,965000,850500,780000,995000,1100000,1400000,1490000,1565000,1460000,1380000,1400000,1350000
MONTMORENCY,580000,560000,561000,570000,614000,732000,780500,890000,926000,856000,916500,910000
MONTROSE,440000,435000,426000,445000,476500,559000,625000,700500,737500,707500,728000,762500
MOONEE PONDS,852500,780500,775000,830500,920000,1006000,1110500,1310000,1360000,1300000,1290000,1411000
MOORABBIN,710000,657000,631000,682000,768000,855000,980000,1160000,1130000,1065000,1075000,1219500
MOOROOLBARK,445000,435000,425000,440000,465000,558500,620000,726000,720000,670000,720500,750000
MOOROOPNA,222000,215000,217500,207500,215000,230000,215500,225000,230000,247500,265000,267500
MORDIALLOC,650000,660000,642500,680000,755000,850000,933000,1120000,1046500,1017500,1045000,1088000
MORNINGTON,512000,525000,501500,525000,558000,641000,745000,800000,850000,807000,890000,950000
MORTLAKE,150000,146000,152000,129500,152500,120000,152000,170000,165000,164000,220000,273000
MORWELL,152500,158500,150500,160000,150000,150000,153000,170000,167000,179000,200500,225000
MOUNT BEAUTY,195000,173000,140000,180000,200000,189500,183000,258000,267500,294000,317000,418000
MOUNT CLEAR,265000,287000,305000,286000,288000,322500,345000,345000,379000,396500,413000,515000
MOUNT DANDENONG,476000,447500,476500,450000,610000,612500,641000,847000,647500,690000,791000,803500
MOUNT DUNEED,267000,190000,480000,286000,532000,545000,425000,500000,555000,557000,595000,594500
MOUNT ELIZA,732000,725000,680000,750000,777500,832000,950000,1137500,1222500,1180000,1301500,1560000
MOUNT EVELYN,390500,400000,393000,406000,428500,493500,551000,640000,671500,636000,710000,741000
MOUNT HELEN,311000,355000,325000,344000,368000,342000,355000,376000,420000,417000,470000,700000
MOUNT MACEDON,520000,512500,543000,662500,600000,635000,750000,665000,859000,775000,1043000,610000
MOUNT MARTHA,705500,690000,715500,727500,745000,785000,965000,1050000,1202500,1262500,1400500,1777500
MOUNT PLEASANT,239000,248500,259000,276500,269500,293500,297500,293000,350000,377500,412500,410000
MOUNT WAVERLEY,806000,745000,733000,820000,950000,1268000,1265000,1416000,1320000,1270000,1296500,1440000
MULGRAVE,550000,531000,533000,577500,627000,765500,786000,900500,860000,840000,834500,930000
MURCHISON,175000,165000,183000,186000,155000,165000,187000,254500,225000,244500,291500,425000
MURRUMBEENA,835000,822000,785000,870000,982500,1204000,1286000,1420000,1350000,1243000,1410500,1512500
MURTOA,85000,133000,108500,95000,110000,91000,97500,115000,110000,119000,136500,128000
MYRTLEFORD,179000,219000,220000,220000,245000,242000,270500,265000,295000,325000,382500,425000
NAGAMBIE,351500,248000,255000,312500,378000,360500,336000,330000,385000,414000,460000,530000
NARRE WARREN,368500,365000,356000,370000,386000,430000,486500,590000,614000,589000,610000,644500
NARRE WARREN NORTH,690000,726500,660000,685000,822500,773000,900000,1108000,1180000,1100000,1167500,1275000
NARRE WARREN SOUTH,405000,405000,405000,410000,440000,476000,530000,620000,636500,625000,660000,700000
NATHALIA,155000,150000,205000,165000,190500,178000,185000,232500,210000,229000,250000,313500
NEERIM SOUTH,240000,260000,265000,340000,336500,280000,330000,320000,406500,413000,487000,537500
NELSON,266500,240000,205000,224000,203500,257500,220000,249500,255000,247500,210000,270000
NERRINA,381000,387000,467500,455000,482500,522500,517500,570000,575000,617500,635000,602500
NEW GISBORNE,465000,492000,475000,500000,510000,498000,545000,625000,757500,695000,721500,732500
NEWBOROUGH,192500,187000,213500,213000,215000,220000,224500,220000,250000,255000,290000,350000
NEWCOMB,280000,275000,275000,280000,292000,290500,310000,375000,453500,435000,476000,510000
NEWINGTON,290500,290000,300000,320000,341000,345000,372500,422500,465000,490000,735000,742500
NEWLANDS ARM,300000,332000,325000,320000,302000,332500,380000,380000,367500,443000,470000,619000
NEWPORT,655000,680000,630000,695000,740000,825000,950000,1080000,1059000,1055000,1100000,1150000
NEWSTEAD,237500,243000,252000,300000,297500,365000,362000,420000,318500,436000,470000,475000
NEWTOWN (GREATER GEELONG),559500,533000,527500,570000,620000,642500,712500,780000,843000,832000,945000,925000
NHILL,101500,107000,110000,110000,125000,128000,140000,126500,149000,137000,158500,135000
NICHOLS POINT,217500,311500,232000,316500,304000,370000,396000,346000,470000,430000,475000,540000
NIDDRIE,740000,742500,666000,700000,747500,832500,910000,1095000,1070000,1070000,975000,1000000
NOBLE PARK,415000,410000,382000,400000,440000,510000,600000,680000,680000,625500,674000,731000
NOBLE PARK NORTH,415000,395000,370000,383000,420000,491500,563000,640000,660000,610000,655500,710000
NORLANE,190500,203000,206500,202500,215000,216000,236500,290000,355000,350000,372000,417500
NORTH BENDIGO,218000,230000,267000,271000,280000,286000,279000,302000,310000,325000,375000,392500
NORTH GEELONG,304000,292500,286500,277000,301000,335000,338500,422000,495000,500000,551000,650000
NORTH MELBOURNE,805000,750000,775000,802500,832000,926000,1200000,1390000,1182500,1352500,1135000,1300500
NORTH WONTHAGGI,285000,284000,256000,230000,268500,274500,259500,294000,369000,389000,417000,446000
NORTHCOTE,822000,780000,786000,818000,935000,1008500,1190000,1325000,1345000,1303500,1413000,1459500
NOTTING HILL,563000,525500,547000,566500,660000,780000,872500,993000,957500,880000,940000,850000
NUMURKAH,178000,190500,200500,195000,215000,219000,195000,219000,225000,250000,238000,315000
NUNAWADING,641000,585000,591500,637500,721500,880000,970000,1090000,986000,951000,1039000,1000000
NYAH WEST,97500,70000,116500,94000,107500,146500,130000,133500,136000,85000,129000,150000
NYORA,237500,216500,225000,222500,265000,245000,300000,260000,340000,370000,530000,710000
OAK PARK,641000,590000,540000,576500,626000,660000,822500,853500,878500,840000,903000,960000
OAKLEIGH,741000,700000,645000,753500,801500,1002000,1050000,1210000,1250000,1101000,1200000,1696000
OAKLEIGH EAST,675000,640000,610000,672000,820000,995000,983000,1195000,992500,950000,986000,1000000
OAKLEIGH SOUTH,630000,615000,590000,603000,700000,830000,890000,1030000,960000,910500,980000,1129000
OCEAN GROVE,427500,479000,465000,459000,515000,516500,555000,637000,691000,695000,782000,862500
OFFICER,385000,396000,429000,342000,339000,375000,440000,480000,548000,545500,590000,635000
OFFICER SOUTH,,,,,,,,283000,569500,714000,770000,535000
OLINDA,452500,520000,445000,496000,520000,553500,620000,705000,760000,746500,757500,1050000
OMEO,179000,162500,170000,210000,190000,212500,150000,183000,183500,250000,238000,270000
ORBOST,181000,151500,150000,156000,150000,145000,162500,159000,165000,185500,220000,232500
ORMOND,970000,912500,857500,997500,1187500,1300000,1550000,1604500,1600000,1475000,1590000,1647000
OSBORNE,469000,488500,507500,530000,540500,580000,640000,735000,757000,777500,851500,925000
OUYEN,103000,110000,116500,75000,77500,105500,130000,130000,93000,99000,121000,123000
PAKENHAM,335000,340000,335000,335000,350000,367000,400000,470000,520000,486000,526000,575000
PARADISE BEACH,152500,159500,212500,163500,178000,188500,200000,180000,199000,200000,248000,301000
PARK ORCHARDS,945000,942500,953000,952500,1103000,1225000,1335000,1450000,1480000,1510000,1515000,1800500
PARKDALE,755000,755500,677000,760000,860000,965000,1100000,1300000,1245000,1157500,1200000,1365000
PARKVILLE,1335000,1100000,1360000,1200000,1525000,1360500,2130000,2375000,2430000,1480000,1725000,1546000
PASCOE VALE,609000,575000,540000,580000,655000,720000,805000,891000,901000,855000,930000,1000000
PASCOE VALE SOUTH,655000,612500,627500,645500,701000,745000,840000,975000,955000,950000,1006000,1212500
PATTERSON GARDENS,582500,605000,610000,620000,672000,739000,812000,885000,890000,920000,970000,1145000
PATTERSON LAKES,621000,625000,730000,645000,734000,787500,810000,1021500,1025000,925000,1100000,1317000
PAYNESVILLE,290000,323500,290000,283000,300000,302500,308000,335000,353000,340000,392500,399000
PEARCEDALE,390000,405000,425000,385000,445000,470000,534000,607000,660000,660000,665000,720000
PETERBOROUGH,291500,410000,333000,287500,307500,296500,340000,315000,450000,419000,550000,632500
PIONEER BAY,235000,197500,235000,200000,220000,240000,216000,271500,308000,310000,355000,319000
PLENTY,900000,730000,770000,773000,750000,915500,935000,1145000,1350000,1301000,1202500,1520000
POINT COOK,435000,445000,435000,450000,445000,465000,505000,590000,630000,640000,667000,710000
POINT LONSDALE,695000,670000,700000,700000,707500,655000,641000,780000,840000,827500,880000,1000000
POREPUNKAH,320000,276000,285000,347000,280000,323000,330000,447000,464500,530000,610000,769500
PORT ALBERT,250000,180000,235000,262500,190000,197500,218500,270000,240000,250000,315000,358000
PORT FAIRY,392000,380000,410000,400000,425000,447500,473500,500000,651000,625000,663000,755000
PORT FRANKLIN,216000,205000,232000,190000,173500,277500,207500,280000,257000,302500,304500,150000
PORT MELBOURNE,1017500,915000,960000,995000,917500,1252500,1380000,1485000,1488000,1400000,1525000,1455000
PORT WELSHPOOL,205000,195000,266000,201500,244000,200000,380000,247500,295000,315000,310000,452500
PORTARLINGTON,380000,425000,389000,390000,414500,409000,460000,515000,640000,625000,680000,752500
PORTLAND,220000,236500,227500,235000,210000,220000,220000,230000,234500,267000,295000,315000
PORTLAND NORTH,115000,215000,226500,300000,248000,330000,340000,360000,367500,276000,507000,589500
PORTSEA,1387500,1625000,1398000,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2515000,2585000
PRAHRAN,940000,955000,932500,990000,1175000,1350000,1430000,1525000,1578000,1520000,1632500,1560000
PRESTON,615000,602000,580000,632500,690000,791000,882000,996000,980000,940000,1026000,1082500
PRINCES HILL,1027500,967500,928500,1216500,1210000,1280000,1555000,1767500,1650000,2035000,1600000,1970000
PYRAMID HILL,122500,91000,100000,112500,117000,112500,112500,112500,100000,120000,117500,121500
QUARRY HILL,295500,292500,300000,385000,355000,377500,349000,362000,407500,395000,430000,470000
QUEENSCLIFF,680000,590000,697500,630000,695000,700000,795000,763000,950000,950000,990000,1655000
RAINBOW,70000,71500,69000,62000,77000,68000,59500,82500,99000,75000,82000,105000
RAYMOND ISLAND,277500,262500,310000,297500,280000,285000,330000,289500,360000,300000,416500,405000
RED CLIFFS,160000,170000,157000,163000,155500,175000,165000,223500,211500,217500,270000,272500
REDAN,230000,227500,237000,250000,245000,247000,255000,287500,330000,357000,386500,426500
RESEARCH,614500,657000,622500,605500,685000,686000,825500,950000,915000,937500,1179000,1067500
RESERVOIR,520000,500000,468500,510000,541000,615000,710000,812500,790000,754000,805000,832500
RHYLL,410000,415000,400000,393000,482000,402000,460000,527500,657500,565000,579000,1132500
RICHMOND,875500,825000,823000,900000,961000,1150000,1265000,1302500,1311000,1260000,1353500,1330000
RIDDELLS CREEK,387500,449000,380000,450000,417500,456500,500000,580000,675000,710000,680000,728500
RINGWOOD,553500,506000,503500,551000,660000,777500,837500,910500,896500,803000,900000,950000
RINGWOOD EAST,530500,520000,490000,547000,612000,750000,806000,901000,881000,809000,861000,955000
RINGWOOD NORTH,580000,569000,564000,631000,662000,783500,844000,960500,920000,871000,957500,1075000
RIPPLESIDE,654000,510000,414000,585000,530000,640000,739000,725000,750000,825000,874000,694000
ROBINVALE,145000,136000,176000,150000,160000,184500,170000,197000,220000,231500,235000,300000
ROCHESTER,155000,185000,210000,189500,215000,235000,239000,242500,236000,255000,237000,270000
ROCKBANK,237000,251000,262000,309000,280000,300000,347000,455000,500000,497000,466000,565000
ROMSEY,350000,360000,367500,387500,396000,420000,428000,470000,550000,580500,632500,714000
ROSANNA,706000,725000,652500,717500,781500,905000,980000,1175000,1100000,1042500,1125000,1356500
ROSEBUD,355000,360000,350000,367000,365000,389000,445000,536000,590000,550000,590000,642500
ROSEBUD SOUTH,419500,460000,450000,425000,500000,514500,545000,647500,711500,697000,782500,820000
ROSEDALE,185000,189000,208500,215000,215000,197000,230000,255000,280000,247000,252000,335000
ROWVILLE,540000,527500,530000,570000,617500,710000,778000,867000,840000,820000,840000,887500
ROXBURGH PARK,371000,360000,355000,365000,385000,400000,435000,515000,546000,543000,574000,569500
RUPANYUP,129000,100000,127000,75000,105000,53500,75000,63500,87000,100500,90000,114500
RUSHWORTH,156500,155000,190000,161000,158000,177000,200000,192500,198000,205000,226000,332500
